C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:17:00

spstring~'G' & nbref>=30
------------------------

Number of objects : 3976

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|----|----
1172|NGC 2420 140                       |*  |07 38 24.1871654153 +21 32 54.015021923|     ~|12.75 |11.51 |     ~|10.26 |G8III                |  33|   0
1173|HD 59360                           |PM*|07 30 23.3926708184 +19 48 50.132453845| 7.750| 7.660| 7.070|     ~|     ~|G0                   |  38|   0
1174|HD 60803                           |SB*|07 36 34.7057582002 +05 51 43.822764843|     ~| 6.479| 5.888|     ~|     ~|G0V                  |  74|   0
1175|V* AI CMi                          |pA*|07 35 41.1518203544 +00 14 57.987903123|     ~| 9.83 | 8.31 |     ~|     ~|G5Iab                |  51|   0
1176|BD-01 1792                         |PM*|07 39 50.1120552457 -01 31 20.375257583|10.35 |10.05 | 9.23 |     ~|     ~|G6V                  |  90|   0
1177|HD 60779                           |PM*|07 36 01.4305286351 -03 09 06.376296453|     ~| 7.74 | 7.18 |     ~|     ~|G1V                  |  32|   0
1178|HD 61383                           |PM*|07 38 51.3397852892 -05 27 55.962268437|     ~| 8.18 | 7.57 |     ~|     ~|G3V                  |  50|   0
1179|V* U Mon                           |RV*|07 30 47.4734611972 -09 46 36.788534824| 8.22 | 7.00 | 5.82 |     ~|     ~|G8/K0Ib/II           | 193|   0
1180|* alf Mon                          |PM*|07 41 14.8325688 -09 33 04.071083      | 5.83 | 4.95 | 3.93 | 3.16 | 2.64 |G9.5III-IIIbFe-0.5   | 185|   0
1181|HD 59984                           |PM*|07 32 05.7631181661 -08 52 52.773345653|     ~| 6.431| 5.916|     ~|     ~|G0VFe-1.6CH-0.5      | 187|   0
1182|Ross 390                           |PM*|07 34 52.9594811934 -10 23 10.075450754|     ~|11.746|11.100|10.701|10.325|G5                   |  53|   0
1183|HD 59711                           |PM*|07 30 40.0131777539 -15 59 40.505491099|     ~| 8.35 | 7.71 |     ~|     ~|G2V                  |  69|   0
1184|HD 61447                           |PM*|07 38 17.3087648029 -27 08 43.889877224|     ~| 9.15 | 8.40 |     ~|     ~|G5IV/V               |  39|   0
1185|HD 61686                           |*  |07 39 35.3036926153 -26 28 27.469274533|     ~| 9.21 | 8.52 |     ~|     ~|G3V                  |  30|   0
1186|HD 61986                           |PM*|07 40 54.3764278789 -26 21 48.627502752|     ~| 9.30 | 8.66 |     ~|     ~|G5V                  |  56|   0
1187|HD 59890                           |*  |07 30 42.6024655264 -30 57 44.214195413| 6.21 | 5.58 | 4.65 | 3.98 | 3.51 |G2Iab/b              |  55|   0
1188|V* R Pup                           |s*y|07 40 52.5969008317 -31 39 40.197224567| 8.59 | 7.74 | 6.56 | 5.69 | 5.02 |G2_0-Ia              |  87|   0
1189|HD 61005                           |PM*|07 35 47.4624262763 -32 12 14.042600581|     ~| 8.96 | 8.22 |     ~|     ~|G8Vk                 | 175|   0
1190|HD 61051                           |PM*|07 35 56.1641942241 -32 50 29.104815283|     ~| 9.72 | 8.93 |     ~|     ~|G8V                  |  33|   0
1191|HD 59967                           |PM*|07 30 42.5117283582 -37 20 21.704201159| 7.386| 7.274| 6.635| 6.28 | 5.945|G3V                  | 130|   0
1192|HD 63433                           |BY*|07 49 55.0604326704 +27 21 47.458599312|     ~| 7.59 | 6.91 |     ~|     ~|G5IV                 | 108|   0
1193|HD 63410                           |** |07 49 47.7046731247 +26 15 49.781916077| 8.400| 7.770| 6.820|     ~|     ~|G8III                |  48|   0
1194|* kap Gem                          |** |07 44 26.8535692 +24 23 52.787227      | 5.19 | 4.49 | 3.57 | 2.86 | 2.41 |G8III-IIIb           | 285|   0
1195|HD 61886                           |*  |07 41 42.34543 +09 42 17.2755          |     ~| 8.92 | 8.29 |     ~|     ~|G0                   |  55|   1
1196|HD 63435                           |*  |07 48 58.9806754571 +04 20 01.314273159|     ~| 7.306| 6.529|     ~|     ~|G6IV                 |  35|   0
1197|HD 62549                           |PM*|07 44 19.7458274021 -05 03 17.800935868|     ~| 8.32 | 7.72 |     ~|     ~|G2/3V                |  46|   0
1198|HD 62128                           |PM*|07 42 01.9775347252 -11 51 09.670272103|     ~| 8.22 | 7.52 |     ~|     ~|G3V                  |  41|   0
1199|* 9 Pup                            |SB*|07 51 46.30295 -13 53 52.9169          |     ~|     ~|     ~|     ~|     ~|G0V                  | 230|   0
1200|HD 62351                           |*  |07 42 58.94168 -17 03 41.7813          |     ~| 9.06 | 8.71 | 7.42 |     ~|G5/6IV               |  40|   0
1201|HD 64152                           |PM*|07 51 43.0252293118 -21 10 25.172940065|     ~| 6.569| 5.607|     ~|     ~|G9III                |  47|   0
1202|HD 63754                           |PM*|07 49 45.2643196657 -20 12 27.476155389|     ~| 7.110| 6.530|     ~|     ~|G0V                  |  56|   0
1203|HD 63598                           |PM*|07 48 53.5379266143 -24 58 24.217788534|     ~| 8.47 | 7.93 |     ~|     ~|G2V                  |  55|   0
1204|* 188 Pup                          |** |07 49 01.6957674199 -24 54 44.070890411|     ~| 6.056| 5.313|     ~|     ~|G1.5IIIFe-0.5        |  40|   0
1205|* ksi Pup                          |*  |07 49 17.6556658 -24 51 35.230469      | 5.72 | 4.56 | 3.30 | 2.43 | 1.88 |G6Ib                 | 182|   0
1206|HD 63487                           |PM*|07 48 05.9777994162 -27 31 10.672850923|     ~| 9.82 | 9.20 |     ~|     ~|G2V                  |  35|   0
1207|V* WX Pup                          |cC*|07 41 59.0037016642 -25 52 34.251072461|     ~| 9.99 | 9.09 |     ~| 7.944|G0                   |  95|   0
1208|HD 63637                           |PM*|07 48 42.8715235406 -30 15 16.848035231|     ~| 8.19 | 7.54 |     ~|     ~|G2V                  |  30|   0
1209|V* PW Pup                          |bL*|07 49 06.0101460697 -31 07 42.620959488|10.54 |10.23 | 9.53 | 9.85 |     ~|G0Ie                 |  37|   0
1210|HD 64324                           |PM*|07 54 48.4946449910 +34 37 11.232443587| 8.620| 8.440|     ~| 7.4  |     ~|G0                   |  50|   0
1211|Wolf 1059                          |PM*|08 00 28.7327115257 +29 00 27.403179983|     ~|13.30 |12.66 |12.89 |     ~|G2                   |  43|   0
1212|* ome Cnc                          |*  |08 00 55.8730456399 +25 23 34.215973929|     ~| 6.881| 5.853|     ~|     ~|G8III                |  63|   0
1213|HD 64704                           |** |07 56 02.7236150 +23 41 33.771567      |     ~| 7.97 |     ~| 6.9  |     ~|G0                   |  69|   0
1214|HD 65523                           |PM*|07 59 35.6328195285 +12 58 59.047160473|     ~| 9.13 |     ~| 7.9  |     ~|G5V                  |  30|   0
1215|HD 66011                           |*  |08 01 50.7298291086 +08 54 50.371156599|     ~| 6.777| 6.209|     ~|     ~|G0IV                 |  66|   0
1216|HD 65874                           |*  |08 01 13.5086720125 +08 22 34.712596182|     ~| 8.12 | 7.51 |     ~|     ~|G0                   |  33|   0
1217|HD 66177                           |** |08 02 26.07300 +04 09 07.4619          |     ~|     ~| 8.53 | 8.08 |     ~|G5/6V                |  40|   0
1218|* 14 CMi                           |PM*|07 58 20.6611341066 +02 13 29.172495097|     ~|     ~|     ~| 4.7  |     ~|G8IIIb               |  83|   0
1219|HD 65080                           |PM*|07 57 03.6613480140 +01 30 47.690766689|     ~| 8.82 | 8.23 |     ~|     ~|G0V                  |  30|   0
1220|HD 66428                           |PM*|08 03 28.6676195352 -01 09 45.759229097|     ~| 8.97 | 8.26 |     ~|     ~|G8IV(+G)             | 101|   1
1221|HD 66242                           |*  |08 02 25.9695253039 -06 20 13.686387980|     ~| 6.930| 6.325|     ~|     ~|F8/G0IV              |  55|   0
1222|HD 64942                           |*  |07 55 58.2270625134 -09 47 49.933268457|     ~| 9.00 | 8.34 |     ~|     ~|G3/5V                |  48|   0
1223|V* V635 Mon                        |Al*|08 01 44.5021301 -08 35 35.337418      |     ~| 7.98 | 7.32 |     ~|     ~|G8III+A2III/IV       |  54|   0
1224|V* UX Mon                          |Al*|07 59 16.3751282592 -07 30 17.889948033|     ~| 8.74 | 8.42 |     ~|     ~|A2/3+G/K             | 124|   0
1225|HD 66221                           |PM*|08 02 05.3629242632 -12 48 16.632710551|     ~| 8.80 | 8.04 |     ~|     ~|G6V                  |  54|   0
1226|HD 65243                           |PM*|07 57 12.6062668583 -14 35 27.836988039|     ~| 8.62 | 8.00 |     ~|     ~|G3/5V                |  35|   0
1227|* 12 Pup                           |Pe*|07 59 05.7144573705 -23 18 37.429253195| 7.15 | 6.23 | 5.11 |     ~|     ~|G9IIa                |  79|   0
1228|V* WZ Pup                          |cC*|08 00 22.9113343060 -23 42 11.438413538|     ~|10.53 |10.30 |     ~| 9.413|G0                   |  64|   0
1229|V* AQ Pup                          |cC*|07 58 22.0887170720 -29 07 48.335325928|     ~| 9.70 | 8.54 |     ~| 7.175|F5-G2Ib              | 175|   0
1230|HD 65721                           |PM*|07 58 36.8867072968 -34 56 41.093443957|     ~| 8.70 | 7.96 |     ~|     ~|G9V                  |  43|   0
1231|HD 67827                           |PM*|08 11 21.6509382830 +38 43 52.729347036|     ~| 7.188| 6.597|     ~|     ~|G0                   |  46|   0
1232|HD 68017                           |** |08 11 38.6527383055 +32 27 25.780504406| 7.63 | 7.50 |     ~| 6.4  |     ~|G3V                  | 142|   0
1233|BD+25 1858                         |SB*|08 08 54.4595409375 +24 37 26.341252603|     ~|10.33 |     ~| 9.3  |     ~|G8                   |  56|   0
1234|* psi Cnc                          |PM*|08 10 27.1806397843 +25 30 26.405145483|     ~| 6.54 |     ~| 5.2  |     ~|G7V                  | 116|   0
1235|* mu.02 Cnc                        |PM*|08 07 45.8558112053 +21 34 54.532453099| 6.14 | 5.93 | 5.30 |     ~|     ~|G1IVb                | 209|   0
1236|* zet Cnc                          |** |08 12 12.72637 +17 38 51.9615          |     ~|     ~|     ~|     ~|     ~|F8V+G0V              | 169|   0
1237|HD 66553                           |SB*|08 04 34.6751850909 +15 21 51.309708584|     ~| 9.33 |     ~| 7.8  |     ~|G5                   |  42|   0
1238|HD 68168                           |PM*|08 11 49.1884896739 +16 31 25.906701424|     ~| 8.02 |     ~| 6.9  |     ~|G0                   |  66|   0
1239|HD 68461                           |SB*|08 12 59.7348340364 +16 30 51.595923240|     ~| 6.918| 6.047|     ~|     ~|G8III                |  33|   0
1240|HD 66573                           |PM*|08 04 29.8432674456 +09 16 04.565349237|     ~|     ~|     ~| 6.9  |     ~|G5VFe-1.3CH-1        |  67|   0
1241|HD 67010                           |** |08 06 03.523 -00 46 35.61              |     ~| 9.33 | 9.00 | 9.13 |     ~|G6V                  |  40|   0
1242|* zet Mon                          |*  |08 08 35.6466280 -02 59 01.636060      | 6.02 | 5.30 | 4.33 | 3.60 | 3.11 |G2Ib                 | 139|   0
1243|HD 68879                           |SB*|08 14 17.0316513294 -05 54 00.580458021|     ~| 9.29 | 8.19 |     ~|     ~|G9IIIK-2CH0.5        |  31|   0
1244|HD 68312                           |PM*|08 11 33.0043183966 -07 46 21.134825078|     ~| 6.259| 5.354|     ~|     ~|G7III-IIIb           |  74|   0
1245|* 19 Pup                           |** |08 11 16.3058502 -12 55 37.195175      | 6.44 | 5.68 | 4.72 | 3.99 | 3.51 |G8.5IIIb             |  75|   0
1246|* 20 Pup                           |*  |08 13 19.9670987474 -15 47 17.600779667| 6.84 | 6.06 | 4.99 |     ~|     ~|G4Ib-II              |  76|   0
1247|HD 66838                           |PM*|08 04 22.0951211420 -28 25 00.345979775|     ~|10.17 | 9.35 |     ~|     ~|G8/K0V               |  32|   0
1248|HD 67458                           |PM*|08 07 00.5222771312 -29 24 10.576616098| 7.47 | 7.39 | 6.79 |     ~|     ~|G0V                  | 113|   0
1249|V* BN Pup                          |cC*|08 06 21.4748690781 -30 05 48.768197196|     ~|10.99 | 9.75 | 8.97 | 8.981|G4                   | 104|   1
1250|HD 68978                           |PM*|08 13 34.4987340538 -31 44 07.381417481|     ~| 7.36 | 6.75 |     ~|     ~|G0.5V                |  71|   0
1251|HD 70088                           |PM*|08 21 20.7339011961 +34 18 35.875722142|     ~|     ~|     ~| 8.1  |     ~|G5V                  |  30|   0
1252|HD 70826                           |SB*|08 24 49.1840632662 +20 09 10.763306427| 8.390| 8.010| 7.380|     ~|     ~|G7III                |  35|   0
1253|HD 69809                           |*  |08 19 13.3888862654 +14 12 02.448700849|     ~| 8.53 | 7.86 |     ~|     ~|G0                   |  45|   0
1254|HD 69056                           |PM*|08 15 33.2033509884 +11 25 51.410976141|     ~|     ~|     ~| 7.2  |     ~|G6V                  |  38|   0
1255|BD+08 2015                         |PM*|08 15 41.5998454769 +07 37 05.702915870|     ~|11.06 |10.38 |10.14 |     ~|G0/5V                |  50|   0
1256|HD 71115                           |*  |08 25 54.7673804613 +07 33 52.224712948|     ~| 6.051| 5.122|     ~|     ~|G6III-IIIaFe-1.5     |  70|   0
1257|BD+06 1909                         |*  |08 15 47.9805310385 +05 50 12.352063199|     ~|10.95 |10.35 |     ~|     ~|G0                   |  40|   1
1258|HD 70013                           |** |08 19 49.8627291 +03 56 52.901194      |     ~| 7.025| 6.050|     ~|     ~|G8IV                 |  40|   0
1259|BD+00 2245                         |PM*|08 16 57.7755569201 +00 01 03.598095093|     ~|10.36 | 9.76 | 9.55 |     ~|G0                   |  32|   0
1260|V* V478 Hya                        |BY*|08 22 49.9528448767 +01 51 33.554224835|     ~| 9.30 | 8.711|     ~| 7.999|G1/2V                |  87|   2
1261|BD+01 2063                         |BY*|08 19 19.0513949781 +01 20 19.909169161| 9.858| 9.266| 8.347| 7.829| 7.365|G5V                  |  44|   0
1262|HD 70110                           |PM*|08 20 12.9994895888 -00 54 33.525480506|     ~| 6.763| 6.177|     ~|     ~|G0V                  | 111|   0
1263|HD 70923                           |** |08 24 33.2589740952 -01 08 54.282924182|     ~| 7.65 | 7.05 |     ~|     ~|G1V                  |  51|   1
1264|HD 69611                           |PM*|08 17 29.3479423950 -03 59 22.619129726|     ~| 8.32 | 7.74 |     ~|     ~|G0V                  | 118|   0
1265|HD 69830                           |PM*|08 18 23.9469692487 -12 37 55.810202572|     ~| 6.74 | 5.95 |     ~|     ~|G8:V                 | 467|   1
1266|HD 70442                           |SB*|08 21 21.2222269442 -20 04 44.639265107|     ~| 6.341| 5.572|     ~|     ~|G8III                |  40|   0
1267|HD 71334                           |PM*|08 25 49.5157058164 -29 55 50.130492534|     ~| 8.49 | 7.82 |     ~|     ~|G2.5V                | 105|   0
1268|HD 71974                           |** |08 31 35.02027 +34 57 58.4091          |     ~|     ~|     ~|     ~|     ~|G5V                  |  68|   0
1269|V* FI Cnc                          |Ro*|08 32 17.3408329173 +29 19 09.520549003|     ~| 8.32 | 7.35 |     ~|     ~|G5                   |  33|   1
1270|* ups02 Cnc                        |PM*|08 33 00.1040838196 +24 05 05.260865502|     ~| 7.373| 6.340|     ~|     ~|G9III                | 139|   0
1271|* 35 Cnc                           |*  |08 35 19.4461574183 +19 35 24.230780199|     ~| 7.248| 6.558|     ~|     ~|G0III                | 119|   0
1272|TYC 1395-2081-1                    |Ro*|08 37 27.5518646804 +19 37 03.268150754|     ~|12.416|11.616|     ~|     ~|G8V                  |  34|   0
1273|TYC 1395-2204-1                    |Ro*|08 37 11.4889391186 +19 48 13.245790204|     ~|12.008|11.286|     ~|     ~|G                    |  32|   0
1274|V* FF Cnc                          |Al*|08 29 39.3100802339 +17 17 00.573635757|     ~|11.46 |10.74 |10.67 | 9.991|G0                   |  33|   0
1275|V* TW Cnc                          |Al*|08 29 37.3205367681 +12 27 20.318619890|     ~| 9.14 | 8.49 |     ~|     ~|G5III+F8IV           |  39|   0
1276|HD 72208                           |SB*|08 31 54.4941644025 +09 48 50.760221045|     ~| 6.76 | 6.83 |     ~|     ~|B9.5VpHgMnEu         |  45|   0
1277|HD 72946                           |PM*|08 35 51.2665915520 +06 37 21.970611710| 8.23 |     ~|     ~| 6.7  |     ~|G8-V                 | 103|   0
1278|HD 72561                           |*  |08 33 43.4784694186 +04 45 25.200418130|     ~| 6.940| 5.867|     ~|     ~|G5III                |  34|   0
1279|V* FG Hya                          |WU*|08 27 03.9413981176 +03 30 52.329514882|     ~|10.62 |10.04 |     ~| 9.401|G0                   | 171|   0
1280|V* GK Hya                          |RS*|08 30 49.3103508876 +02 16 26.596270587|     ~|10.10 | 9.37 |     ~| 8.569|G4V                  |  80|   0
1281|HD 71431                           |PM*|08 27 31.5465285567 +00 49 42.251382663|     ~| 8.17 | 7.57 |     ~|     ~|G1V                  |  33|   0
1282|HD 72659                           |PM*|08 34 03.1900792374 -01 34 05.579345170|     ~| 8.08 | 7.47 |     ~|     ~|G2V                  | 129|   1
1283|HD 71479                           |PM*|08 27 35.1263989929 -05 08 55.088095382|     ~| 7.81 | 7.18 |     ~|     ~|G2/3V                |  72|   0
1284|HD 72528                           |PM*|08 33 17.5983845594 -05 19 40.517494506|     ~| 7.85 | 7.33 |     ~|     ~|F8/G0V               |  36|   0
1285|HD 72769                           |PM*|08 33 45.7057745106 -23 21 19.967599403|     ~| 7.95 | 7.21 |     ~|     ~|G8IV-V               |  77|   0
1286|HD 72687                           |*  |08 33 15.3791970197 -29 57 23.718925835|     ~| 8.92 | 8.26 |     ~|     ~|G5V                  |  47|   0
1287|HD 72954                           |** |08 34 31.9544072126 -32 35 55.518135741|     ~| 7.162| 6.41 |     ~|     ~|G5V                  |  45|   1
1288|V* CS Pyx                          |BY*|08 36 23.0163309904 -30 02 15.441850007|     ~| 8.84 | 8.06 |     ~|     ~|G8IV-VFe+0.5         | 132|   1
1289|V* VX Pyx                          |RS*|08 32 58.5003063293 -34 38 02.531738157|     ~| 7.318| 6.366|     ~|     ~|G8III                |  69|   0
1290|HD 71835                           |PM*|08 28 11.9807117711 -36 43 22.748681492|     ~| 9.15 | 8.37 |     ~|     ~|G9V+                 |  49|   1
1291|G 115-22                           |PM*|08 44 05.0089007402 +36 14 43.800677603|     ~|11.54 |     ~|10.6  |     ~|G0                   |  39|   0
1292|* 46 Cnc                           |*  |08 45 21.4236798607 +30 41 51.906372485|     ~| 7.055| 6.119|     ~|     ~|G5III                |  48|   0
1293|* iot Cnc                          |PM*|08 46 41.8219658710 +28 45 35.617935005|     ~| 4.996| 4.018|     ~|     ~|G8IIIaBa0.2          | 155|   0
1294|HD 73226                           |PM*|08 38 08.5071891001 +26 02 56.319581980|     ~| 8.18 |     ~| 7.1  |     ~|G5                   |  46|   0
1295|V* RU Cnc                          |RS*|08 37 30.1264408516 +23 33 41.643015668|     ~|10.80 |10.20 |10.019|     ~|G9V+F9V              | 115|   0
1296|K2-100                             |Ro*|08 38 24.3004849747 +20 06 21.828303951|     ~|11.085|10.521|     ~|     ~|G0V                  |  60|   0
1297|BD+20 2181                         |Ro*|08 41 25.8431960416 +19 56 36.849175368|     ~|11.342|10.687|     ~|     ~|G0V                  |  50|   0
1298|HD 73974                           |SB*|08 41 50.0804684736 +19 52 27.023626621|     ~| 7.88 | 6.92 |     ~|     ~|G8III-IIIb           |  96|   0
1299|Cl* NGC 2632 S 213                 |Ro*|08 43 20.1944331707 +19 46 08.541986218|     ~|11.415|10.756|     ~|     ~|G0V                  |  34|   0
1300|Cl* NGC 2632 S 51                  |SB*|08 38 50.0069496356 +20 04 03.537549213|     ~|11.40 |10.80 |     ~|     ~|G0V                  |  35|   0
1301|TYC 1398-290-1                     |Ro*|08 40 31.8436758171 +20 12 06.021092764|     ~|12.201|11.472|     ~|     ~|G5V                  |  32|   0
1302|HD 73598                           |** |08 39 50.7158912207 +19 32 26.927229273|     ~| 7.53 | 6.60 |     ~|     ~|G8III-IIIb           | 104|   0
1303|TYC 1395-2007-1                    |Ro*|08 38 14.2625127906 +19 21 55.335723069|     ~|11.605|10.897|     ~|     ~|G5V                  |  30|   0
1304|Cl* NGC 2632 JC 190                |Ro*|08 40 09.6806090106 +19 37 17.100035501|     ~|12.808|11.973|     ~|     ~|G9V                  |  39|   0
1305|V* TX Cnc                          |EB*|08 40 01.7039481625 +18 59 59.422657649|     ~|10.71 | 9.97 | 9.88 |     ~|G0-G1V               | 203|   0
1306|HD 73710                           |*  |08 40 22.0864080101 +19 40 11.773707165| 8.290| 7.410| 6.390| 5.70 | 5.21 |G9III-IIIb           | 160|   0
1307|Cl* NGC 2632 S 184                 |Pu*|08 41 54.3796292489 +19 15 26.595053045|     ~|12.104|11.354|11.053|     ~|G8V                  |  33|   0
1308|Cl* NGC 2632 S 155                 |Ro*|08 41 10.3085858520 +19 49 07.003931605|     ~|12.268|11.495|     ~|     ~|G6.6                 |  45|   0
1309|V* FV Cnc                          |DN*|08 48 01.7387992440 +18 40 37.644471641|     ~|11.12 |10.60 |     ~|     ~|G                    |  30|   0
1310|Cl* NGC 2632 S 138                 |Ro*|08 40 42.4810997427 +19 33 57.626579766|     ~|12.063|11.331|     ~|     ~|G4V                  |  49|   0
1311|TYC 1395-811-1                     |Ro*|08 37 52.0886888504 +19 59 13.859077789|     ~|11.952|11.242|     ~|     ~|G5V                  |  35|   0
1312|Cl* NGC 2632 S 104                 |Ro*|08 40 06.3566790841 +19 18 26.510190376|     ~|11.761|10.980|     ~|     ~|G8V                  |  34|   0
1313|Cl* NGC 2632 S 131                 |Ro*|08 40 31.6863515690 +19 51 01.014807219|     ~|12.402|11.609|     ~|     ~|G9V                  |  31|   0
1314|Cl* NGC 2632 JC 118                |Ro*|08 37 57.0348289240 +19 14 10.373925430|     ~|12.632|11.829|     ~|     ~|G8V                  |  33|   0
1315|HD 73534                           |PM*|08 39 15.8030495855 +12 57 37.348477409|     ~| 9.21 | 8.24 |     ~|     ~|G5                   |  40|   1
1316|* 45 Cnc                           |** |08 43 12.3294017499 +12 40 51.148647776| 6.310| 6.040| 5.650|     ~|     ~|A3III:+G7III         |  46|   0
1317|* b Cnc                            |a2*|08 44 45.0360754573 +10 04 54.003515709| 5.30 | 5.55 | 5.66 |     ~|     ~|A1VpHgMnSiEu         | 173|   0
1318|* eps Hya                          |Ro*|08 46 46.51223 +06 25 07.6855          | 4.43 | 4.06 | 3.38 | 2.78 | 2.39 |G1III+A8V            | 249|   0
1319|BD+06 2008                         |PM*|08 39 44.6825093668 +05 46 13.925998481|     ~| 9.21 |     ~| 8.0  |     ~|G9V                  |  35|   0
1320|HD 73668                           |PM*|08 39 43.8022227366 +05 45 51.266443571|     ~| 7.84 |     ~| 6.9  |     ~|G1V                  |  66|   0
1321|HD 74156                           |PM*|08 42 25.1221445320 +04 34 41.146391815|     ~|     ~|     ~| 7.2  |     ~|G1V                  | 197|   2
1322|HD 73955                           |PM*|08 41 04.3666503635 -02 00 45.306279216|     ~| 9.11 | 8.47 |     ~|     ~|G5V                  |  30|   0
1323|V* V401 Hya                        |BY*|08 37 50.2937802584 -06 48 24.777904953| 7.577| 7.394| 6.725| 6.365| 6.029|G8/K0(IV)            | 138|   0
1324|* F Hya                            |*  |08 43 40.3734513 -07 14 01.432289      |     ~| 5.441| 4.625|     ~|     ~|G1Ib                 | 152|   0
1325|* D Hya                            |*  |08 46 22.5354441480 -13 32 51.750164327| 5.86 | 5.22 | 4.32 | 3.64 | 3.18 |G8IIIbCN-1           |  72|   0
1326|HD 73752                           |SB*|08 39 07.90110 -22 39 42.8110          |     ~| 6.00 | 5.17 | 6.38 |     ~|G3V+K0V              | 123|   0
1327|* zet Pyx                          |PM*|08 39 42.4733206577 -29 33 39.907903574|     ~| 5.777| 4.872|     ~|     ~|G6IIIbCN-0.5         |  47|   0
1328|* bet Pyx                          |*  |08 40 06.1436306 -35 18 30.065139      |     ~| 4.885| 3.954|     ~|     ~|G5II/III             |  66|   0
1329|HD 76349                           |*  |08 56 39.4314117459 +33 15 27.927006671|     ~| 7.81 | 7.31 |     ~|     ~|G0                   |  47|   0
1330|HD 75898                           |PM*|08 53 50.8052562337 +33 03 24.523004559|     ~| 8.67 | 8.03 |10.6  |     ~|G0                   |  58|   1
1331|* sig03 Cnc                        |PM*|08 59 32.6550220427 +32 25 06.811464290|     ~| 6.128| 5.220|     ~|     ~|G9III                |  70|   0
1332|* 57 Cnc                           |** |08 54 14.73274 +30 34 44.8283          |     ~| 7.56 | 7.08 | 6.51 |     ~|G7III                |  62|   0
1333|HD 76752                           |PM*|08 58 49.8691384673 +25 24 17.874274329|     ~| 8.10 | 7.45 |     ~|     ~|G2V                  |  50|   0
1334|* rho02 Cnc                        |*  |08 55 39.6800431390 +27 55 38.939897212|     ~| 6.229| 5.225|     ~|     ~|G8III                |  59|   0
1335|HD 75935                           |BY*|08 53 49.9409088594 +26 54 47.679583477|     ~| 9.21 | 8.45 |     ~|     ~|G8V                  |  44|   0
1336|HD 76095                           |** |08 54 55.98706 +26 11 53.8459          |     ~|     ~|     ~| 7.62 |     ~|G1V                  |  77|   0
1337|HD 76025                           |PM*|08 54 18.7051680388 +22 12 40.530971665| 8.610| 8.440|     ~| 7.5  |     ~|G5                   |  31|   0
1338|HD 76780                           |PM*|08 58 55.7308058943 +21 09 58.640767144|     ~| 8.32 | 7.63 |     ~|     ~|G5                   |  48|   0
1339|HD 75470                           |** |08 50 40.4021529964 +18 00 12.278433672|     ~| 7.58 | 6.72 |     ~|     ~|G5                   |  68|   1
1340|* 54 Cnc                           |PM*|08 51 01.4643444572 +15 21 02.366924952|     ~| 7.017| 6.361|     ~|     ~|G1V                  |  57|   0
1341|BD+17 1972                         |BY*|08 54 41.50961 +16 36 40.3586          |     ~| 9.30 | 9.00 | 8.73 |     ~|G5V                  |  31|   0
1342|HD 75784                           |PM*|08 52 23.9416892653 +13 14 00.370414562| 9.740| 8.840| 7.850|     ~|     ~|G5                   |  30|   0
1343|NGC 2682 136                       |SB*|08 51 21.7525357665 +11 52 37.871016235|     ~|11.92 |11.235|     ~|10.595|G3III-IV             |  69|   0
1344|Cl* NGC 2682 SAND 1063             |RS*|08 51 13.3548192552 +11 51 40.173576430|15.557|14.84 |13.573|     ~|12.591|G8IV                 |  42|   0
1345|NGC 2682 132                       |*  |08 51 20.8049357633 +11 45 02.511069423|13.812|13.71 |13.110|     ~|12.38 |G:                   |  45|   0
1346|Cl* NGC 2682 ES I-46               |*  |08 50 53.3447325187 +11 43 40.065214014|15.318|15.06 |14.448|     ~|13.569|G0V                  |  41|   0
1347|NGC 2682 46                        |Ro*|08 51 00.1707001809 +11 54 32.147054160|13.991|13.541|12.764|     ~|11.889|G5IV                 |  41|   0
1348|Cl* NGC 2682 YBP 1194              |*  |08 51 00.8053336097 +11 48 52.796026050|15.546|15.28 |14.676|     ~|13.876|G5V                  |  49|   1
1349|NGC 2682 143                       |SB*|08 51 23.7748135706 +11 49 49.341257027|     ~|12.39 |11.420|     ~|10.61 |G4III                |  77|   0
1350|NGC 2682 159                       |*  |08 51 27.8885891317 +11 55 40.949719456|14.598|13.94 |13.320|     ~|12.625|G1IV                 |  33|   0
1351|Cl* NGC 2682 ES III-9              |*  |08 51 27.9474785266 +11 50 11.919029103|15.180|15.08 |14.491|     ~|13.669|G4V                  |  33|   0
1352|NGC 2682 226                       |*  |08 51 44.0075673304 +11 46 24.536468173|13.749|13.549|12.790|     ~|11.928|G0                   |  52|   0
1353|NGC 2682 244                       |RG*|08 51 50.2027768749 +11 46 06.919492376|     ~|11.72 |10.700|     ~| 9.820|G8III                |  73|   0
1354|Cl* NGC 2682 ES II-7               |*  |08 51 36.0753568316 +11 47 47.049856350|15.268|15.14 |14.486|     ~|13.745|G1V                  |  35|   0
1355|Cl* NGC 2682 ES III-13             |*  |08 51 29.9638668720 +11 51 09.062503600|14.821|14.72 |14.191|13.773|13.398|G2V                  |  31|   0
