C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:17:00

spstring~'G' & nbref>=30
------------------------

Number of objects : 3976

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|----|----
41  |HD 10086                           |PM*|01 39 36.0178939231 +45 52 39.986465984|     ~| 7.30 |     ~| 6.2  |     ~|G5V                  |  87|   0
42  |HD 13931                           |PM*|02 16 47.3784111993 +43 46 22.789604279|     ~|     ~|     ~| 7.2  |     ~|G0                   |  69|   1
43  |HD 15753                           |PM*|02 33 09.6680527890 +42 53 46.258655237|     ~| 7.86 | 7.15 |     ~|     ~|G0                   |  34|   0
44  |HD 16693                           |*  |02 41 56.7425192840 +42 47 23.325600284|     ~| 8.52 | 8.52 |     ~|     ~|B9IIInpHgMn          |  41|   0
45  |HD 16175                           |PM*|02 37 01.9111510043 +42 03 45.469631505|     ~| 7.92 | 7.28 |     ~|     ~|G2                   |  57|   1
46  |HD 15830                           |PM*|02 34 10.6617008003 +42 47 06.918068243|     ~| 8.30 |     ~| 7.2  |     ~|G0                   |  45|   0
47  |HD 16656                           |** |02 41 28.8938516244 +40 52 50.790002204|     ~| 9.12 | 8.53 |     ~|     ~|G0                   |  31|   0
48  |HD 19771                           |** |03 12 09.51967 +37 13 04.0239          |     ~|     ~|     ~|     ~|     ~|G0                   |  47|   0
49  |HD 196850                          |PM*|20 38 40.1903355291 +38 38 06.334184836|     ~| 7.37 |     ~| 6.4  |     ~|G1V                  |  79|   0
50  |V* TX Cyg                          |cC*|21 00 06.3808243296 +42 35 51.214648706|     ~|11.3  | 9.50 |     ~| 7.168|F5.5Ib-G5Ib:         | 135|   0
51  |BD+41 3931                         |PM*|20 55 16.7552935756 +42 18 00.676419326|     ~|     ~|     ~|10.0  |     ~|G5                   |  85|   0
52  |* rho Cyg                          |PM*|21 33 58.8529848 +45 35 30.617851      | 5.47 | 4.91 | 4.02 | 3.31 | 2.81 |G8IIIFe-0.5          | 183|   0
53  |HD 204814                          |PM*|21 29 46.8171954078 +45 53 40.160054401|     ~| 8.66 |     ~| 7.4  |     ~|G8V                  |  67|   0
54  |HD 216275                          |PM*|22 50 46.3456235835 +52 03 41.169368778|     ~|     ~|     ~| 6.8  |     ~|G0                   |  41|   0
55  |HD 216106                          |PM*|22 49 17.5665128452 +50 58 36.150788501| 7.310| 7.290| 6.750|     ~|     ~|G0                   |  41|   0
56  |HD 216206                          |*  |22 50 10.0936437396 +50 40 36.905501148|     ~| 7.336| 6.230|     ~|     ~|G5Ib-II              |  56|   0
57  |HD 219428                          |PM*|23 15 13.3756756022 +52 21 06.955669218| 8.980| 8.850|     ~| 7.8  |     ~|G0                   |  33|   0
58  |HD 5372                            |PM*|00 56 17.3670741899 +52 29 28.455630034| 8.390| 8.160|     ~| 7.1  |     ~|G5                   |  44|   0
