C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
40  |HD 202124                          |s*b|21 12 28.3896915394 +44 31 54.125407798| 7.33 | 7.94 | 7.76 |     ~|     ~|O9Iab                 |  89|   0
41  |EM* LkHA 257                       |Ae*|21 54 18.7802039069 +47 12 09.667376789|15.195|13.87 |13.16 |     ~|     ~|B5/A2e                |  51|   0
42  |BD+46 3471                         |Ae*|21 52 34.0992388111 +47 13 43.600551484|10.72 |10.56 |10.15 |     ~|     ~|A0.5IIIer             | 196|   1
43  |* alf Lac                          |PM*|22 31 17.5013090 +50 16 56.968200      | 3.78 | 3.78 | 3.77 | 3.77 | 3.80 |A1V                   | 240|   0
44  |* 4 Lac                            |*  |22 24 30.9907943432 +49 28 34.999228897| 4.33 | 4.67 | 4.58 | 4.45 | 4.35 |A0Ib                  | 171|   0
45  |* 9 Lac                            |PM*|22 37 22.4172656 +51 32 42.438341      | 4.98 | 4.87 | 4.63 | 4.41 | 4.27 |A9VkA7mA6             |  70|   0
46  |V* BL And                          |bL*|23 11 24.2581644660 +51 52 31.373657414|     ~|11.47 |11.10 |     ~|     ~|A8                    |  59|   0
47  |HD 11031                           |** |01 49 15.54296 +47 53 48.9227          |     ~| 6.11 | 5.82 |     ~|     ~|A3V                   |  62|   0
48  |* c And                            |PM*|02 19 16.7969275675 +47 22 47.913234056|     ~| 5.310| 5.310|     ~|     ~|A0V                   |  56|   0
49  |* 14 Per                           |*  |02 44 05.1591849213 +44 17 49.348817414|     ~| 6.320| 5.435|     ~|     ~|G0Ib-IIaCa1           | 125|   0
50  |HD 194279                          |s*b|20 23 18.1650257662 +40 45 32.596789171| 8.01 | 8.04 | 7.01 | 5.98 | 5.17 |B2Ia                  | 176|   0
51  |HD 194839                          |Em*|20 26 21.5478243332 +41 22 45.635833450| 8.40 | 8.49 | 7.49 |     ~|     ~|B0.5Iae               | 110|   0
52  |HD 195689                          |*  |20 31 26.3534038246 +39 56 19.765154336|     ~| 7.59 | 7.56 |     ~|     ~|A0                    |  50|   0
53  |V* RW Cyg                          |s*r|20 28 50.5902663365 +39 58 54.418023246|13.00 |10.60 | 8.00 | 5.32 | 3.25 |M3-M4Ia-Iab           | 110|   0
54  |HD 193702                          |** |20 20 15.21965 +39 24 11.5969          |     ~|     ~|     ~|     ~|     ~|A1V                   |  89|   0
55  |BD+41 3804                         |s*b|20 33 46.1097446575 +41 33 00.958715569|11.82 |11.41 | 9.88 |     ~|     ~|O9.7Iab               |  92|   0
56  |Schulte 19                         |s*b|20 33 39.1043036607 +41 19 25.991882191|12.91 |12.77 |10.944|10.38 |     ~|B0Iab                 |  66|   0
57  |EM* LkHA 170                       |Ae*|20 52 12.7784292502 +44 19 26.087626178|     ~|     ~|     ~|     ~|     ~|A0e                   | 103|   0
58  |* 56 Cyg                           |PM*|20 50 04.9312938076 +44 03 33.486215185|     ~|     ~|     ~| 4.9  |     ~|A6V                   |  76|   0
59  |EM* AS 443                         |Ae*|20 48 04.7804570972 +43 47 25.853444732|     ~|11.77 |11.42 |     ~|     ~|B8/A0e                |  51|   0
60  |HD 199939                          |SB*|20 58 43.4952470116 +44 24 52.450966669|     ~| 8.74 | 7.44 |     ~|     ~|G9III:Ba4             |  79|   0
61  |V* V1934 Cyg                       |a2*|21 24 55.4392700588 +49 19 23.254288761| 6.55 | 6.55 | 6.58 |     ~|     ~|A0VpSrCrSiHg          |  50|   0
62  |HD 204411                          |a2*|21 26 51.6210422364 +48 50 06.598904376| 5.54 | 5.38 | 5.31 |     ~|     ~|A4VpSiCrHg            | 172|   0
63  |HD 205314                          |** |21 32 56.5913653851 +49 58 39.470136422|     ~| 5.721| 5.755|     ~|     ~|A0V                   |  63|   0
64  |HD 205116                          |*  |21 31 42.3844565914 +48 35 04.616260034|     ~| 6.792| 6.827|     ~|     ~|A0III:                |  63|   0
65  |HD 205331                          |*  |21 33 10.1102361075 +48 18 12.257802426| 6.800| 6.820| 6.830|     ~|     ~|A1III                 |  60|   0
66  |HD 205117                          |*  |21 31 44.6503143842 +48 29 03.667695213|     ~| 7.65 | 7.65 |     ~|     ~|A1p                   |  64|   0
67  |* bet Lac                          |** |22 23 33.6237466 +52 13 44.564655      | 6.26 | 5.46 | 4.44 | 3.67 | 3.10 |G9IIIbCa1             | 143|   0
68  |HD 210809                          |s*b|22 11 38.6004905633 +52 25 47.950552363| 6.7  | 7.61 | 7.56 |     ~|     ~|O9Iab                 | 195|   0
69  |HD 218915                          |s*b|23 11 06.9480376287 +53 03 29.651927910| 6.32 | 7.22 | 7.20 |     ~|     ~|O9.2Iab               | 184|   1
70  |HD 761                             |** |00 12 08.0880907 +53 37 26.005001      |     ~| 7.06 | 6.81 |     ~|     ~|A7Vn+F2V              |  71|   0
71  |* l Per                            |PM*|03 21 26.5572313250 +43 19 46.741405350|     ~| 5.006| 4.946|     ~|     ~|A3V                   |  65|   0
72  |V* KN Per                          |WU*|03 22 35.6432127035 +41 19 55.176745656|     ~|11.79 |11.41 |     ~|     ~|A5                    |  53|   0
73  |V* AB Per                          |Al*|03 37 45.2030831 +40 45 49.369859      |     ~|10.10 | 9.72 |     ~|     ~|A5V                   |  68|   0
74  |V* IW Per                          |SB*|03 33 35.0335072963 +39 53 58.114748423|     ~| 5.909| 5.776|     ~|     ~|A3V                   |  89|   0
75  |HD 193092                          |V* |20 16 55.2856832622 +40 21 54.270388173|     ~| 6.871| 5.236|     ~|     ~|K3IIIaFe-1            |  70|   0
76  |EM* LkHA 224                       |Ae*|20 20 29.3500765489 +41 21 28.448014439|14.82 |14.08 |12.93 |12.05 |11.08 |A4:Ve                 |  91|   0
77  |EM* LkHA 225                       |Ae*|20 20 30.5937486026 +41 21 26.337058307|     ~|18.2  |19.17 |     ~|     ~|A4:Ve                 |  72|   0
78  |RX J2013.1+4002                    |WD*|20 13 09.3685301695 +40 02 24.240184767|     ~|     ~|14.6  |     ~|     ~|DAO+M2/3e             |  87|   1
79  |HD 195592                          |s*b|20 30 34.9690436039 +44 18 54.858025184| 7.75 | 7.95 | 7.08 | 6.29 | 5.60 |O9.7Ia                | 197|   1
80  |* alf Cyg                          |sg*|20 41 25.91514 +45 16 49.2197          | 1.11 | 1.34 | 1.25 | 1.14 | 1.04 |A2Ia                  | 719|   0
81  |* 55 Cyg                           |s*b|20 48 56.2911163453 +46 06 50.883966851| 4.83 | 5.28 | 4.86 | 4.41 | 4.10 |B4Ia                  | 472|   0
82  |* f02 Cyg                          |*  |21 06 36.0938154 +47 38 54.249030      |     ~| 6.079| 4.514|     ~|     ~|K4Ib-IIa              | 101|   0
83  |HD 199478                          |s*b|20 55 49.8044819063 +47 25 03.561837777| 5.79 | 6.12 | 5.64 | 5.16 | 4.78 |B8Ia                  | 212|   0
84  |GD 394                             |WD*|21 12 44.0369554327 +50 06 17.887384602|11.70 |12.85 |13.09 |     ~|     ~|DA1.3                 | 167|   1
85  |HD 210221                          |Pu*|22 07 25.5853748300 +53 18 26.771994597| 6.81 | 6.555| 6.171|     ~|     ~|A3Ib                  |  73|   0
86  |HD 235858                          |pA*|22 29 10.3755939027 +54 51 06.341145584|     ~|11.40 | 9.52 | 8.47 | 7.34 |G5Ia                  | 238|   0
87  |V* RW Cep                          |s*r|22 23 07.0152079533 +55 57 47.616196874|11.25 | 8.87 | 6.65 | 4.94 | 3.78 |K2_0-Ia               | 149|   0
88  |V* U Lac                           |s*r|22 47 43.4264404880 +55 09 30.316069125|13.20 |11.74 | 9.40 |     ~|     ~|M3Ia                  |  70|   0
89  |V* GL Lac                          |a2*|22 44 07.5047921489 +55 35 21.208257555|     ~| 8.85 | 8.81 |     ~|     ~|A0p                   | 263|   0
90  |V* ST Cep                          |s*r|22 30 10.7378149736 +57 00 03.067223413|14.30 |11.98 | 9.70 | 7.50 | 5.75 |M2Ia-Iab              |  72|   0
91  |V* V436 Cas                        |a2*|23 32 47.6484699647 +57 54 20.108514720|     ~| 7.72 | 7.55 |     ~|     ~|A0p                   | 102|   0
92  |* tau Cas                          |PM*|23 47 03.4547470384 +58 39 07.153067168|     ~| 5.993| 4.873|     ~|     ~|K1-IIIa               |  98|   0
93  |V* V376 Cas                        |Ae*|00 11 26.5610557523 +58 50 03.750169804|     ~|     ~|     ~|     ~|     ~|A3/F2e                |  95|   1
94  |* alf Cas                          |PM*|00 40 30.4410679 +56 32 14.392170      | 4.52 | 3.40 | 2.23 | 1.45 | 0.85 |K0-IIIa               | 319|   0
95  |* tet Cas                          |PM*|01 11 06.1622468 +55 08 59.647259      | 4.630| 4.510| 4.330| 4.16 | 4.09 |A7V                   | 185|   0
96  |V* AX Per                          |Sy*|01 36 22.6996835649 +54 15 02.411289057|     ~|11.45 |10.67 |11.04 |     ~|M3IIIep+A0            | 275|   1
97  |HD 11187                           |*  |01 51 26.6180243808 +54 55 28.850672673|     ~| 8.20 | 7.94 |     ~|     ~|A0p                   |  56|   0
98  |V* Y Per                           |C* |03 27 42.3910029037 +44 10 36.490594153|     ~|11.89 | 9.19 | 8.78 |     ~|C5,3e_Ba5             |  96|   0
99  |HD 191742                          |a2*|20 09 47.0414842145 +42 32 28.814115981|     ~| 8.36 | 8.16 |     ~|     ~|A7p                   |  66|   0
100 |Ross 198                           |WD*|21 26 25.4558502441 +55 13 32.379701175|14.19 |14.88 |14.75 |15.0  |14.8  |DA3.6                 |  52|   0
101 |EGGR 378                           |WD*|21 18 56.2637318943 +54 12 41.241940564|11.76 |     ~|     ~|12.9  |     ~|DA3.4                 |  84|   1
102 |HD 210071                          |*  |22 06 13.5664681091 +56 20 36.215421701|     ~| 6.286| 6.382|     ~|     ~|A0VpSiSr              |  70|   0
