C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
486 |* gam Boo                          |dS*|14 32 04.6717964 +38 18 29.704270      | 3.33 | 3.21 | 3.02 | 2.88 | 2.80 |A7IV+(n)              | 230|   0
487 |EGGR 188                           |WD*|13 19 13.7222973484 +45 05 09.808706255|     ~|14.16 |     ~|14.3  |     ~|DA3.6                 |  53|   0
488 |* 65 UMa A                         |Al*|11 55 05.7276516725 +46 28 36.955651729|     ~| 6.76 | 6.67 |     ~|     ~|hA5VkA2mA3            |  86|   0
489 |SN 1969C                           |SN*|11 41 17.8 +47 41 33                   |     ~|13.79 |13.67 |     ~|     ~|SNIa                  |  60|   1
490 |* lam UMa                          |PM*|10 17 05.7736525022 +42 54 51.766171028| 3.54 | 3.48 | 3.45 | 3.37 | 3.38 |A1IV                  | 174|   0
491 |* A Hya                            |Al*|09 35 22.5115202810 +39 57 47.781880855|     ~| 8.47 | 8.34 | 7.71 |     ~|kA3hF3mF2             |  73|   0
492 |HD 77912                           |Pe*|09 06 31.7685981338 +38 27 07.975612689|     ~| 5.567| 4.539|     ~|     ~|G7IIa                 | 151|   0
493 |HD 76595                           |** |08 58 27.3909675853 +35 48 09.528800022| 6.660| 6.650| 6.640|     ~|     ~|A2V                   |  50|   0
494 |V* VW Lyn                          |WD*|09 01 48.6581784777 +36 07 07.755538143|     ~|14.92 |     ~|14.2  |     ~|DA4.1                 |  70|   0
495 |* 49 Ari                           |V* |03 01 54.1414806740 +26 27 44.479886650|     ~| 6.054| 5.909|     ~|     ~|kA2hA6mA7             |  69|   0
496 |* alf Cet                          |LP?|03 02 16.77307 +04 05 23.0596          | 6.10 | 4.17 | 2.53 | 1.18 | 0.02 |M1.5IIIa              | 439|   0
497 |Feige 31                           |WD*|03 04 37.3225510856 +02 56 58.038423578|     ~|14.68 |     ~|15.2  |     ~|DA1.4                 |  59|   0
498 |SN 2005gj                          |SN*|03 01 11.96 -00 33 13.9                |     ~|18.6  |     ~|     ~|     ~|SNIapec               | 174|   1
499 |* rho03 Eri                        |PM*|03 04 16.5169664024 -07 36 03.077195124|     ~| 5.46 | 5.30 |     ~|     ~|A5V                   |  61|   0
500 |SN 2005eq                          |SN*|03 08 49.31 -07 01 59.7                |     ~|     ~|17.4  |     ~|     ~|SNIa                  |  63|   1
501 |* tau03 Eri                        |PM*|03 02 23.4993908 -23 37 28.093588      | 4.33 | 4.25 | 4.09 | 3.96 | 3.87 |A3IV-V                | 148|   0
502 |SN 2003hv                          |SN*|03 04 09.32 -26 05 07.5                |     ~|     ~|12.5  |     ~|     ~|SNIa                  | 102|   1
503 |V* V423 Per                        |SB*|03 16 01.8600386695 +34 41 18.619276259|     ~| 6.508| 6.229|     ~|     ~|A1m                   |  89|   0
504 |HD 20644                           |*  |03 20 20.3611110 +29 02 54.445135      | 7.81 | 6.02 | 4.47 | 3.27 | 2.39 |K3IIIaBa0.5           | 116|   0
505 |* zet Ari                          |PM*|03 14 54.0914129194 +21 02 39.995191184|     ~| 4.858| 4.869|     ~|     ~|A1V                   |  84|   0
506 |* kap02 Cet                        |PM*|03 21 06.8027421269 +03 40 32.237848892| 7.42 | 6.66 | 5.69 |     ~|     ~|G9IIIBa0.2            |  62|   0
507 |* zet Eri                          |SB*|03 15 50.0253691484 -08 49 11.026245623| 5.11 | 5.03 | 4.80 | 4.59 | 4.47 |kA4hA9mA9V            | 136|   0
508 |V* SV Eri                          |RR*|03 11 52.1075010054 -11 21 14.066820534|     ~|10.34 | 9.96 |     ~|     ~|A1III                 | 107|   0
509 |SN 2002fk                          |SN*|03 22 05.71 -15 24 03.2                |     ~|     ~|15.7  |     ~|     ~|SNIa                  |  79|   1
510 |* tau04 Eri                        |LP*|03 19 31.0022373 -21 45 28.304953      | 7.13 | 5.32 | 3.70 | 2.12 | 0.66 |M3III-IIIaCa-1        | 103|   0
511 |HD 21335                           |** |03 27 03.2369196501 +18 45 23.582016558|     ~| 6.72 | 6.57 |     ~|     ~|A3V                   |  62|   0
512 |* s Tau                            |*  |03 30 24.4671639 +11 20 11.187567      |     ~| 5.090| 5.124|     ~|     ~|A0Vn                  |  55|   0
513 |V* V1241 Tau                       |Al*|03 24 23.2476767065 -00 42 14.927927423|     ~| 9.87 | 9.49 |     ~|     ~|A5III                 |  57|   1
514 |EGGR 566                           |WD*|03 25 11.0473248379 -01 49 15.047384952|     ~|16.8  |16.22 |     ~|     ~|DZA9                  |  68|   0
515 |V* AS Eri                          |Al*|03 32 25.1262238528 -03 18 48.096045754|     ~| 8.49 | 8.30 |     ~|     ~|A1V                   | 159|   0
516 |HD 21997                           |PM*|03 31 53.6468412720 -25 36 50.936416301|     ~| 6.501| 6.372|     ~| 6.25 |A3IV/V                | 127|   0
517 |LAWD 14                            |WD*|03 28 48.7985358267 -27 19 00.094462182|     ~|14.0  |13.56 |     ~|     ~|DA5.4                 |  67|   1
518 |SN 1981D                           |SN*|03 22 39.0 -37 14 06                   |     ~|12.59 |12.33 |     ~|     ~|SNIa                  |  84|   1
519 |SN 1980N                           |SN*|03 22 59.0 -37 12 48                   |     ~|12.5  |12.37 |     ~|     ~|SNIa                  | 140|   1
520 |SN 2006dd                          |SN*|03 22 41.64 -37 12 13.2                |     ~|14.5  |15.0  |     ~|     ~|SNIa                  |  64|   1
521 |HD 23193                           |PM*|03 44 31.4432560899 +36 27 36.337834605|     ~| 5.657| 5.588|     ~|     ~|A2m                   |  60|   0
522 |HD 278937                          |Em*|03 40 46.9603307360 +32 31 53.715906654|     ~|10.66 |10.40 |     ~|     ~|A7III:kA2.5mA3e(r)    |  75|   0
523 |IC 348 12                          |Y*O|03 44 35.3536256308 +32 10 04.612216964|     ~|     ~|     ~|10.06 | 9.098|A2                    |  50|   0
524 |* 7 Tau                            |** |03 34 26.62704 +24 27 51.8294          |     ~| 8.59 | 8.56 | 7.32 |     ~|A3IVs                 | 124|   0
525 |* 11 Tau                           |SB*|03 40 46.3091285719 +25 19 46.160601437|     ~| 6.187| 6.102|     ~|     ~|A2IV                  |  50|   0
526 |V* V1187 Tau                       |dS*|03 44 00.2687309325 +24 33 25.191688546|     ~| 8.28 | 8.07 |     ~|     ~|A5V                   | 114|   0
527 |HD 23246                           |PM*|03 44 25.7164697236 +24 23 40.978404153|     ~| 8.44 | 8.18 |     ~|     ~|A8V                   |  68|   0
528 |V* V624 Tau                        |dS*|03 43 43.2418015652 +24 22 28.449807684|     ~| 8.49 | 8.22 |     ~|     ~|A7V                   | 114|   0
529 |HD 23157                           |** |03 43 41.5284838842 +23 38 56.943575252|     ~| 8.25 | 7.95 |     ~|     ~|A5V                   |  75|   0
530 |* 9 Tau                            |a2*|03 36 58.0259435475 +23 12 39.851681960| 6.960| 6.840| 6.730|     ~|     ~|A2p                   |  98|   0
531 |HD 22615                           |V* |03 39 00.0561531140 +20 54 56.737055925|     ~| 6.646| 6.493|     ~|     ~|A4III                 |  53|   0
532 |HD 23258                           |*  |03 44 28.2036044846 +20 55 43.450013193|     ~| 6.100| 6.074|     ~|     ~|A0Vp_lB               |  50|   0
533 |HD 23281                           |*  |03 43 33.8334560788 -10 29 08.360757051| 5.88 | 5.80 | 5.61 | 5.40 | 5.30 |A5III-IV              |  79|   0
534 |SN 1992bp                          |SN*|03 36 37.95 -18 21 13.7                |     ~|18.53 |18.37 |     ~|     ~|SNIa                  |  62|   1
535 |SN 2005ke                          |SN*|03 35 04.35 -24 56 38.8                |     ~|     ~|17.2  |     ~|     ~|SNIap                 | 118|   1
536 |SN 1992A                           |SN*|03 36 27.41 -34 57 31.4                |     ~|12.56 |12.50 |     ~|     ~|SNIa                  | 383|   1
537 |V* XY Per                          |Ae*|03 49 36.3362509899 +38 58 55.551266650|12.12 |10.14 | 9.58 | 9.54 | 8.40 |A2II+B6               | 141|   0
538 |* n Per                            |SB*|03 49 32.6948866655 +33 05 28.933428418| 5.29 | 5.18 | 5.11 |     ~|     ~|A3V                   |  76|   0
539 |HD 24167                           |*  |03 52 04.4488343392 +31 10 06.933046393|     ~| 6.416| 6.212|     ~|     ~|A5V                   |  52|   0
540 |* 22 Tau                           |** |03 46 02.9003043108 +24 31 40.431321794|     ~| 6.402| 6.421|     ~| 6.41 |A0Vn                  | 149|   0
541 |V* V1228 Tau                       |dS*|03 47 24.0758792047 +24 35 18.554267442|     ~| 7.89 | 7.71 | 7.5  | 7.45 |A4V                   |  84|   0
542 |HD 23325                           |*  |03 45 06.5357383084 +24 15 48.595513382|     ~| 8.96 | 8.70 |     ~| 8.16 |kA6hA9mF1(IV)         |  83|   0
543 |HD 23387                           |*  |03 45 37.7918604034 +24 20 08.366306169|     ~| 7.33 | 7.19 |     ~| 6.96 |A1V                   | 115|   1
544 |HD 23479                           |** |03 46 16.0038790173 +24 11 23.720970489|     ~| 8.91 | 8.80 | 8.72 | 7.57 |A7V                   |  93|   0
545 |HD 23361                           |PM*|03 45 26.1377959937 +24 02 06.593357759|     ~| 8.24 | 8.02 |     ~| 7.78 |A3V                   |  74|   0
546 |HD 23409                           |*  |03 45 51.6357837666 +24 02 19.957892096|     ~| 8.11 | 7.92 |     ~| 7.63 |A2V                   |  67|   0
547 |V* V647 Tau                        |dS*|03 47 19.3455910441 +24 08 20.814099072|     ~| 8.51 | 8.26 |     ~| 7.97 |A7Vs                  | 140|   0
548 |* 24 Tau                           |*  |03 47 21.0381093918 +24 06 58.563413901| 6.26 | 6.30 | 6.28 |     ~| 6.30 |A0V                   |  72|   0
549 |V* V534 Tau                        |dS*|03 47 03.5764837140 +24 49 11.154761921|     ~| 8.65 | 8.30 |     ~| 7.83 |A9V                   | 103|   0
550 |HD 23489                           |** |03 46 27.2786964917 +24 15 17.994858056| 7.56 | 7.44 | 7.34 | 7.28 | 7.23 |A2V                   |  94|   0
551 |HD 23985                           |** |03 50 18.94122 +25 34 45.7479          |     ~| 5.451| 5.234|     ~|     ~|A2IVp                 | 109|   0
552 |HD 23733                           |** |03 48 13.5566851068 +24 19 06.236214324|     ~| 8.73 | 8.41 |     ~| 7.83 |A9V                   |  78|   0
553 |HD 23872                           |*  |03 49 16.8022835594 +24 23 46.066530240|     ~| 7.64 | 7.54 |     ~| 7.34 |A2V                   |  66|   0
554 |HD 23886                           |PM*|03 49 25.9839338182 +24 14 51.726316749|     ~| 8.15 | 8.01 |     ~| 7.79 |A5Vn                  |  70|   0
555 |EGGR 25                            |WD*|03 52 11.3300644884 +24 55 48.795313569|15.42 |16.32 |16.52 |     ~|     ~|DA1.5                 |  72|   0
556 |HD 23763                           |*  |03 48 30.0959779922 +24 20 43.793551669|     ~| 7.08 | 6.96 |     ~| 6.79 |A2V                   | 110|   0
557 |HD 23948                           |*  |03 49 56.5950944264 +24 20 56.374300553|     ~| 7.61 | 7.54 |     ~| 7.48 |A0                    |  74|   0
558 |V* V1229 Tau                       |Al*|03 47 29.4535999265 +24 17 18.016988974|     ~| 6.87 | 6.81 |     ~| 6.74 |A0VpSi+Am             | 176|   0
559 |HD 23512                           |PM*|03 46 34.1929387876 +23 37 26.463964106| 8.72 | 8.44 | 8.09 | 7.79 | 7.49 |A2V                   | 127|   0
560 |HD 23632                           |*  |03 47 20.9687127623 +23 48 12.039404853|     ~| 7.04 | 7.02 |     ~| 7.01 |A1V                   | 101|   0
561 |HD 23631                           |SB*|03 47 24.4131955559 +23 54 52.829427881|     ~| 7.34 | 7.30 |     ~| 7.11 |A0V                   | 102|   0
562 |V* V650 Tau                        |dS*|03 47 26.8283153258 +23 40 41.987151754|     ~| 7.93 | 7.79 |     ~| 7.61 |A3Van                 | 104|   0
563 |HD 23410                           |PM*|03 45 48.8148023529 +23 08 49.727348449|     ~| 6.925| 6.909|     ~| 6.78 |A0Va                  |  69|   0
564 |HD 23863                           |*  |03 49 12.1867524181 +23 53 12.438926254|     ~| 8.36 | 8.15 |     ~| 7.88 |A7Vn                  |  83|   0
565 |HD 24076                           |*  |03 50 52.4276034591 +23 57 41.234843839|     ~| 7.02 | 6.92 |     ~| 6.81 |A2V                   |  76|   0
566 |HD 23791                           |*  |03 48 43.8959938565 +23 15 35.336988439|     ~| 8.64 | 8.38 |     ~| 8.05 |kA7hA8mF0IV           |  66|   0
567 |HD 23924                           |*  |03 49 40.9234318995 +23 20 29.655751197|     ~| 8.32 | 8.13 |     ~| 7.91 |A5VkA7mA7             |  77|   0
568 |LP 413-40                          |WD*|03 45 16.8307220225 +17 48 08.697184778|     ~|17.1  |     ~|16.3  |     ~|DA                    |  62|   0
569 |V* V471 Tau                        |Al*|03 50 24.9664598642 +17 14 47.433240686|     ~|10.258| 9.373|     ~| 8.393|K2V+DA                | 615|   0
570 |HZ 4                               |WD*|03 55 21.9881493731 +09 47 18.134000893|13.917|14.592|14.506|14.58 |14.642|DA3.4                 | 173|   0
571 |GD 50                              |WD*|03 48 50.1861716368 -00 58 32.290158840|12.596|13.787|14.063|14.210|14.388|DA1.2                 | 237|   0
572 |V* DO Eri                          |a2*|03 55 16.1314636284 -12 05 56.729555672| 6.35 | 6.32 | 6.00 |     ~|     ~|A9VpSrEuCr            | 375|   0
573 |V* V380 Per                        |a2*|04 03 10.8523550517 +38 03 17.351843624| 9.58 | 7.89 | 7.84 |     ~|     ~|A0p                   | 100|   0
574 |V* V386 Per                        |dS*|03 58 03.1438238413 +34 48 50.288675008| 6.800| 6.740| 6.530|     ~|     ~|A8V                   |  63|   0
575 |* 41 Tau                           |a2*|04 06 36.4111881917 +27 35 59.639429440|     ~| 5.041| 5.172|     ~|     ~|Ap                    | 223|   0
576 |G 8-8                              |WD*|04 04 34.1280174803 +25 08 51.682967467|     ~|13.92 |     ~|14.1  |     ~|DA3.9                 |  80|   0
577 |V* GR Tau                          |bL*|04 01 03.2346895884 +20 24 50.251325044|     ~|10.80 |10.36 |10.43 |     ~|A5V                   |  72|   0
578 |* nu. Tau                          |*  |04 03 09.3796630 +05 59 21.479166      |     ~| 3.924| 3.883|     ~|     ~|A0.5Va                | 117|   0
579 |V* DL Eri                          |dS*|03 56 37.9261791273 -09 45 02.978430900|     ~| 6.439| 6.177|     ~|     ~|A9V                   |  75|   0
580 |* tau09 Eri                        |a2*|03 59 55.4831332806 -24 00 58.361909354| 4.11 | 4.52 | 4.66 | 4.64 | 4.77 |ApSi                  | 153|   0
581 |* f Per                            |SB*|04 14 53.3292389615 +40 29 01.197278808|     ~| 5.652| 4.691|     ~|     ~|G5II+A2V              |  85|   0
582 |NGC 1514                           |PN |04 09 16.9857297577 +30 46 33.469936956|     ~|10.01 | 9.48 |     ~|     ~|sdO+A0/3III           | 316|   2
583 |V* V892 Tau                        |Ae*|04 18 40.6120892867 +28 19 15.641672501|     ~|16.6  |14.69 |14.35 |     ~|A0Ve                  | 268|   0
584 |* ome02 Tau                        |PM*|04 17 15.6624066480 +20 34 42.949211995|     ~| 5.170| 4.914|     ~|     ~|A3m                   | 110|   0
585 |HZ 10                              |WD*|04 10 10.3225404876 +18 02 23.801065504|     ~|14.29 |14.14 |14.60 |     ~|DA3.5                 |  54|   0
586 |EGGR 29                            |WD*|04 09 28.9036045636 +17 07 54.391379835|14.66 |15.378|15.323|15.408|15.515|DA3.2                 | 103|   0
587 |HZ 2                               |WD*|04 12 43.5549840231 +11 51 48.973557049|12.903|13.787|13.877|13.984|14.094|DA2.3                 |  91|   0
588 |* 47 Tau                           |** |04 13 56.38482 +09 15 49.7729          |     ~|     ~|     ~|     ~|     ~|G5III+A7V:            |  70|   0
589 |GD 56                              |WD*|04 11 02.1685298491 -03 58 22.586560976|     ~|15.64 |15.50 |15.1  |     ~|DA3.3                 |  65|   0
590 |* omi02 Eri B                      |WD*|04 15 21.786 -07 39 29.22              | 9.147| 9.83 | 9.53 |     ~|     ~|DA2.9                 | 319|   0
591 |V* GW Eri                          |Al*|04 11 36.2038197082 -20 21 22.155688525| 6.05 | 5.96 | 5.80 | 5.64 | 5.59 |A1V+(F/G)             |  67|   0
592 |V* IK Per                          |bL*|04 29 27.4559757386 +42 03 10.588508212|     ~|12.17 |11.49 |     ~|     ~|A2                    |  50|   0
593 |EGGR 34                            |WD*|04 20 17.2474215789 +36 16 27.266461718|     ~|15.79 |     ~|15.5  |     ~|DA4.4                 |  61|   0
594 |HL Tau 76                          |WD*|04 18 56.6380318051 +27 17 48.312463115|     ~|15.40 |     ~|     ~|     ~|DA4.3                 | 129|   0
595 |* 56 Tau                           |a2*|04 19 36.7050073648 +21 46 24.576627150|     ~| 5.231| 5.346|     ~|     ~|A0VpSi                | 173|   0
596 |* kap01 Tau                        |PM*|04 25 22.1650526 +22 17 37.937535      |     ~| 4.366| 4.201|     ~|     ~|A7IV-V                | 166|   0
597 |HD 28226                           |PM*|04 28 00.7833328503 +21 37 11.652517024|     ~| 5.996| 5.711| 5.553| 5.406|Am                    | 131|   0
598 |* ups Tau                          |dS*|04 26 18.4636760 +22 48 48.888498      |     ~| 4.572| 4.282|     ~|     ~|A8Vn                  | 163|   0
599 |* gam Tau                          |** |04 19 47.6038491 +15 37 39.515422      | 5.46 | 4.64 | 3.65 | 4.83 |     ~|G9.5IIIabCN0.5        | 517|   0
600 |* del02 Tau                        |PM*|04 24 05.7612291035 +17 26 38.877118086| 5.07 | 4.95 | 4.80 | 4.64 | 4.57 |A2Vs                  | 218|   0
601 |* del03 Tau                        |a2*|04 25 29.38340 +17 55 40.4579          |     ~| 4.369| 4.298| 6.18 | 4.24 |A2IV-Vs               | 381|   0
602 |LAWD 19                            |WD*|04 28 39.4101366129 +16 58 12.091706185|     ~|13.96 |14.03 |14.51 |     ~|DA2.0                 | 105|   0
603 |LAWD 18                            |WD*|04 23 55.6975604110 +16 21 15.120816077|     ~|14.33 |14.27 |14.79 |     ~|DA2.5                 |  93|   0
604 |* 63 Tau                           |SB*|04 23 25.0639692398 +16 46 38.158913556|     ~| 5.957| 5.625| 7.04 | 5.33 |A1m                   | 271|   0
605 |* tet02 Tau                        |dS*|04 28 39.7445471109 +15 52 15.122606898| 3.690| 3.600| 3.410| 5.43 |     ~|A7III                 | 417|   0
606 |HD 27483                           |WD*|04 20 52.7203276158 +13 51 51.938159624|     ~| 6.603| 6.141| 5.876| 5.630|DA3+F6V               | 164|   0
607 |* 60 Tau                           |dS*|04 22 03.5181535031 +14 04 37.917221958|     ~| 6.054| 5.710| 7.05 | 5.38 |A3m                   | 252|   0
608 |* b Tau                            |PM*|04 28 50.1638027833 +13 02 51.375403335|     ~| 5.226| 5.014| 4.907| 4.795|kA5hF0VmF0            | 175|   0
609 |* r Tau                            |** |04 23 51.82553 +09 27 39.4939          |     ~| 5.175| 5.098|     ~|     ~|A3V                   | 121|   0
610 |V* SW Tau                          |WV*|04 24 32.9729177626 +04 07 24.079650708|     ~|10.23 | 9.33 |     ~|     ~|A7                    | 102|   0
611 |* ksi Eri                          |PM*|04 23 40.8522386569 -03 44 43.682867342|     ~| 5.236| 5.165|     ~|     ~|A1V                   |  86|   0
612 |V* TZ Eri                          |Al*|04 21 40.3306286323 -06 01 09.201548751|     ~| 9.97 | 9.61 |     ~|     ~|A5                    |  58|   0
613 |GD 61                              |WD*|04 38 39.3737549429 +41 09 32.348595654|13.801|14.767|14.879|14.932|14.970|DBAZ3                 |  79|   0
614 |IRAS 04296+3429                    |pA*|04 32 56.9768181234 +34 36 12.505781495|     ~|16.13 |14.09 |13.64 |11.64 |G0Ia                  | 137|   0
615 |* 81 Tau                           |SB*|04 30 38.8891812919 +15 41 30.762581514|     ~| 5.739| 5.454| 6.76 |     ~|Am                    | 192|   0
616 |* sig02 Tau                        |PM*|04 39 16.5023050 +15 55 04.702951      |     ~| 4.842| 4.665|     ~|     ~|A5Vn                  | 128|   0
617 |HD 28527                           |dS*|04 30 33.6330527888 +16 11 38.462112418|     ~| 4.975| 4.764| 6.52 |     ~|A6IV                  | 179|   0
618 |HZ 9                               |WD*|04 32 23.7568600725 +17 45 02.673763017|     ~|14.28 |13.93 |14.21 |     ~|DA3+dM                | 138|   0
619 |* sig01 Tau                        |SB*|04 39 09.2167927578 +15 47 59.292624182|     ~| 5.201| 5.076|     ~|     ~|A4m                   |  81|   0
620 |* rho Tau                          |dS*|04 33 50.9193650280 +14 50 39.936472608| 4.98 | 4.90 | 4.65 | 4.41 | 4.29 |A8V                   | 205|   0
621 |HZ 7                               |WD*|04 33 44.9627317246 +12 42 40.356206632|     ~|14.15 |14.24 |14.49 |     ~|DA2.3                 | 108|   0
622 |* c Tau                            |PM*|04 38 09.4616564927 +12 30 38.991822704| 4.52 | 4.39 | 4.27 | 4.13 | 4.08 |A6V                   | 175|   0
623 |HZ 14                              |WD*|04 41 01.7398593372 +10 59 39.999082566|     ~|13.68 |13.86 |     ~|     ~|DA1.8                 | 105|   0
624 |* 88 Tau                           |SB*|04 35 39.2552964799 +10 09 38.761498133|     ~| 4.412| 4.250|     ~| 4.06 |A5m                   | 201|   0
625 |HD 28978                           |*  |04 34 08.2676941493 +05 34 07.040449548|     ~| 5.729| 5.678|     ~|     ~|A2IV                  |  88|   0
626 |HD 29499                           |PM*|04 39 06.1590758485 +07 52 15.558265082|     ~| 5.623| 5.365| 5.226| 5.093|A5m                   | 104|   0
627 |* 46 Eri                           |a2*|04 33 54.7274214950 -06 44 20.070609343| 5.13 | 5.59 | 5.72 |     ~|     ~|ApSi                  |  80|   0
628 |HD 29573                           |** |04 38 53.5485539110 -12 07 23.084025753|     ~| 5.065| 5.002|     ~|     ~|A0V                   |  85|   0
629 |HD 29613                           |RG*|04 39 19.7107223550 -14 21 33.083945720|     ~| 6.510| 5.463|     ~|     ~|K0.5IVa               |  52|   0
630 |HD 30353                           |sg*|04 48 53.3476426387 +43 16 32.094009964| 8.05 | 8.22 | 7.76 |     ~|     ~|A5Iap                 | 132|   0
631 |HD 30443                           |Pe*|04 49 16.0206954611 +35 00 06.478684166|     ~|11.2  | 8.82 |     ~|     ~|C5,3_CH9_CN6.5_Ba7    |  50|   0
632 |HD 30453                           |SB*|04 49 19.0802794304 +32 35 17.495495312|     ~| 6.086| 5.824|     ~|     ~|A8m                   |  67|   0
633 |HD 29646                           |*  |04 41 19.7607530516 +28 36 53.962169646|     ~| 5.736| 5.729|     ~|     ~|A2V                   |  65|   0
634 |* i Tau                            |dS*|04 51 22.4527939633 +18 50 23.657192876|     ~| 5.302| 5.085| 4.964| 4.830|A7IV-V                | 170|   0
635 |HD 30210                           |PM*|04 46 01.7399683665 +11 42 20.120763822|     ~| 5.566| 5.346|     ~|     ~|Am                    | 142|   0
636 |SN 1995bd                          |SN*|04 45 21.24 +11 04 02.5                |     ~|17.29 |     ~|     ~|     ~|SNIapec               |  61|   1
637 |* pi.02 Ori                        |*  |04 50 36.7229825 +08 54 00.649333      | 4.39 | 4.36 | 4.35 | 4.29 | 4.29 |A1Vn                  | 163|   0
638 |V* RZ Eri                          |RS*|04 43 45.8303098729 -10 40 56.020152460|     ~| 8.530| 7.88 |     ~|     ~|kA5mF5+G8IVe          | 169|   0
639 |V* EX Eri                          |dS*|04 46 25.7495931083 -28 05 14.805481115|     ~| 6.347| 6.173|     ~|     ~|A7VkA3mA3             | 108|   0
640 |* eps Aur                          |Al*|05 01 58.1290610816 +43 49 23.871349520| 3.86 | 3.53 | 2.99 | 2.47 | 2.02 |A9Ia                  | 557|   0
641 |* 2 Aur                            |*  |04 52 37.9809748976 +36 42 11.478901229|     ~| 6.164| 4.779|     ~|     ~|K3-IIIBa0.4           | 132|   0
642 |V* AB Aur                          |Ae*|04 55 45.8459978418 +30 33 04.293281305| 7.20 | 7.16 | 7.05 | 6.96 | 6.70 |A0Ve                  | 938|   2
643 |HD 31648                           |Ae*|04 58 46.2654165113 +29 50 36.990341242| 7.84 | 7.78 | 7.62 | 7.76 | 7.43 |A5Vep                 | 398|   0
644 |* k Tau                            |PM*|04 58 09.3923534616 +25 03 01.469484500|     ~| 5.803| 5.785|     ~|     ~|A0V                   |  58|   0
645 |* iot Tau                          |** |05 03 05.7455626893 +21 35 23.865671091|     ~| 4.797| 4.615|     ~|     ~|A7V                   | 154|   0
646 |* pi.01 Ori                        |PM*|04 54 53.7287660 +10 09 02.995200      |     ~| 4.723| 4.648|     ~|     ~|A0Va_lB               | 241|   0
647 |HD 32297                           |*  |05 02 27.4357771761 +07 27 39.682335894|     ~| 8.32 | 8.14 |     ~|     ~|A0V                   | 151|   0
648 |HD 32115                           |SB*|05 00 39.8076842834 -02 03 57.710120718|     ~| 6.60 | 6.32 |     ~|     ~|A9V                   |  63|   0
649 |SN 2001ep                          |SN*|04 57 00.26 -04 45 40.2                |     ~|     ~|17.1  |     ~|     ~|SNIa                  |  59|   1
650 |* ome Eri                          |SB*|04 52 53.6699535 -05 27 09.697201      |     ~| 4.64 | 4.40 |     ~|     ~|A9IVn                 |  62|   0
651 |* 63 Eri                           |SB*|04 59 50.4609687587 -10 15 47.820334404|     ~| 6.180| 5.390|     ~|     ~|G4IV-V+DA             |  98|   1
652 |PN A66 7                           |PN |05 03 07.5326812460 -15 36 22.721664325|13.99 |15.190|15.495|15.632|15.818|DAO.6                 | 107|   0
653 |V* U Lep                           |RR*|04 56 17.9853630613 -21 13 02.023837030|     ~|10.76 |10.64 |     ~|     ~|A8/F2(I)              |  92|   0
654 |RX J0457.2-2807                    |WD*|04 57 13.3226414126 -28 07 52.721053602|12.44 |13.65 |13.92 |14.23 |     ~|DA.8                  | 103|   0
655 |HD 32608                           |** |05 06 00.9189752 +35 56 11.009937      | 6.770| 6.670| 6.500|     ~|     ~|A5V                   |  60|   0
656 |* mu. Aur                          |** |05 13 25.7204229629 +38 29 04.147218748|     ~| 5.017| 4.821|     ~|     ~|A4m                   |  94|   0
657 |V* CL Aur                          |bL*|05 12 54.1857107118 +33 30 28.048230315|     ~|11.97 |11.60 |     ~|     ~|A0                    |  54|   0
658 |HD 33204                           |EB*|05 09 45.0935047294 +28 01 49.690740243|     ~| 6.296| 5.997|     ~| 5.69 |A7VAm:                | 149|   0
659 |CCDM J05055+1948AB                 |** |05 05 32.10213 +19 48 24.2217          |     ~| 6.68 | 6.44 |     ~|     ~|A5m                   |  67|   1
660 |* l Tau                            |PM*|05 07 48.3992238567 +20 25 06.160719900| 5.460| 5.380| 5.280|     ~|     ~|A5IV                  |  63|   0
661 |* 11 Ori                           |a2*|05 04 34.1491631 +15 24 14.777073      |     ~| 4.609| 4.661|     ~|     ~|A1VpSiCr              | 139|   0
662 |* h Ori                            |SB*|05 09 19.6456259298 +09 49 46.496469787| 5.83 | 5.67 | 5.43 | 5.25 | 5.13 |A2m                   | 234|   0
663 |* i Ori                            |** |05 07 52.8935888573 +08 29 54.421123532|     ~|     ~|     ~| 6.59 |     ~|Am                    | 148|   0
664 |HS 0507+0434B                      |WD*|05 10 13.5216587720 +04 38 55.134907779|     ~|15.52 |15.31 |15.63 |     ~|DA2.3                 |  53|   0
665 |SN 2005el                          |SN*|05 11 48.76 +05 11 39.0                |     ~|     ~|18.7  |     ~|     ~|SNIa                  |  84|   1
666 |BD+01 938                          |** |05 13 31.55526 +01 58 03.6479          | 6.79 | 6.51 | 6.09 | 7.10 |     ~|A2/3V+(K)             |  79|   0
667 |* bet Eri                          |PM*|05 07 50.98549 -05 05 11.2055          | 3.02 | 2.92 | 2.79 | 2.65 | 2.57 |A3IV                  | 210|   0
668 |V* UX Ori                          |Ae*|05 04 29.9881676817 -03 47 14.288047238|10.25 |10.93 | 8.70 | 9.62 | 9.43 |A4IVe                 | 334|   1
