C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
463 |LS V +22 38                        |HS*|06 16 13.3273979436 +22 45 48.782736570|11.69 |11.5  |10.9  |10.45 |     ~|sdO                                |  21|   0
464 |HD 254755                          |** |06 18 31.7717931918 +22 40 45.027767990| 9.02 | 9.33 | 8.91 |     ~|     ~|O9Vp                               |  46|   0
465 |HD 253247                          |Y*O|06 12 22.1119540158 +18 00 57.858793618| 9.54 |10.23 | 9.92 |10.00 |     ~|OB-                                |  43|   0
466 |HD 253327                          |Y*O|06 12 44.1772236174 +17 59 14.252398680|10.93 |11.30 |10.75 |10.57 |     ~|OB                                 |  29|   0
467 |LS 19                              |Y*O|06 13 04.2112382843 +17 58 41.460987904|12.33 |12.50 |11.65 |11.33 |     ~|O9.5V                              |  16|   0
468 |EM* AS 120                         |EB*|06 14 34.4875567038 +18 28 28.278871623|     ~|12.02 |11.42 |11.09 |     ~|OB+e                               |  14|   0
469 |EM* AS 121                         |Em*|06 15 25.6732702614 +18 03 06.767040028|     ~|11.53 |10.92 |10.62 |     ~|OBe                                |  10|   0
470 |HD 253659                          |Be*|06 13 54.1683009481 +16 31 05.056462773| 9.24 | 9.78 | 9.68 | 9.36 |     ~|OB+e                               |  24|   0
471 |V* CZ Ori                          |DN*|06 16 43.2247028462 +15 24 11.297178349|     ~|12.81 |12.81 |16.17 |     ~|OB-                                |  89|   0
472 |HD 256035                          |*  |06 22 58.2414943657 +22 51 46.158464308| 9.24 | 9.63 | 9.21 |     ~|     ~|O9V:p                              |  31|   0
473 |HD 44597                           |*  |06 23 28.5387935526 +20 23 31.657709822| 8.59 | 9.23 | 9.05 |     ~|     ~|O9V                                |  34|   0
474 |HD 44811                           |*  |06 24 38.3546226020 +19 42 15.808878424| 7.72 | 8.54 | 8.48 | 8.91 |     ~|O7V(n)z                            |  59|   0
475 |UCAC4 549-026741                   |*  |06 24 55.6181788970 +19 45 54.605040864|12.29 |12.91 |12.55 |12.56 |     ~|OB-                                |  16|   0
476 |HD 256725                          |*  |06 25 01.3004435399 +19 50 56.120956348| 9.34 | 9.94 | 9.59 | 9.96 |     ~|O5V((fc))                          |  30|   0
477 |LS V +19 5                         |*  |06 25 01.8976944422 +19 50 54.493530189| 9.97 |10.65 |10.50 |10.53 |     ~|O9.5V                              |  13|   0
478 |HD 256761                          |*  |06 25 04.7676652041 +19 41 36.280544105|12.38 |12.97 |12.58 |12.57 |     ~|OB-:                               |  11|   0
479 |EM* AS 125                         |Em*|06 25 24.9585602000 +19 45 59.387561163|11.47 |12.19 |11.77 |11.69 |     ~|OBe                                |  13|   0
480 |HD 256940                          |*  |06 25 45.4180114238 +19 42 16.836337110|11.7  |12.42 |12.06 |12.09 |     ~|OB                                 |  12|   0
481 |HD 258546                          |*  |06 30 39.3737557716 +17 14 46.489076128|11.16 |11.76 |11.688|11.59 |     ~|OB+                                |  12|   0
482 |HD 256147                          |V* |06 22 57.4262613589 +15 56 36.495517449|10.87 |11.45 |10.91 |10.91 |     ~|OB                                 |  12|   0
483 |HD 44637                           |Be*|06 23 24.6815741790 +15 06 06.434064893| 7.75 | 9.22 | 9.13 | 8.73 |     ~|OB-e                               |  59|   0
484 |HD 45314                           |Be*|06 27 15.7780829067 +14 53 21.219330074| 5.91 | 6.79 | 6.64 |     ~|     ~|O9:npe                             | 154|   0
485 |HD 46106                           |Y*O|06 31 38.3971787778 +05 01 36.401702672| 7.33 | 8.08 | 7.93 | 7.76 | 7.66 |O9.7III(n)                         | 142|   0
486 |HD 46149                           |SB*|06 31 52.5314050362 +05 01 59.186016432| 7.03 | 7.80 | 7.61 | 7.54 | 7.36 |O8.5V                              | 258|   0
487 |HD 46202                           |** |06 32 10.4728 +04 57 59.818            | 7.60 | 8.36 | 8.19 | 7.98 | 7.86 |O9.2V                              | 258|   0
488 |HD 46223                           |Y*O|06 32 09.3066083011 +04 49 24.707398183| 6.73 | 7.50 | 7.28 | 6.95 | 6.79 |O4V((f))                           | 356|   0
489 |HD 46056                           |Em*|06 31 20.8609777928 +04 50 03.842065994| 7.60 | 8.36 | 8.16 | 8.16 | 8.09 |O8Vn                               | 206|   0
490 |HD 259267                          |Em*|06 32 27.6181580576 +05 14 42.148160620| 9.74 |10.15 |10.06 |     ~|     ~|OB-e                               |  12|   0
491 |HD 258691                          |*  |06 30 33.3081907645 +04 41 27.531212864| 9.78 |10.27 | 9.70 |     ~|     ~|O9V                                |  28|   0
492 |PN A66 15                          |PN |06 27 02.0385418052 -25 22 49.699315787|     ~|15.41 |15.72 |     ~|     ~|sdOp                               | 101|   1
493 |HD 259891                          |*  |06 34 25.9495368317 +08 42 40.008795561|     ~|10.12 |10.06 |10.02 |     ~|O/B2                               |  10|   0
494 |LS VI +10 12                       |*  |06 36 31.7271795932 +10 51 37.608365058|11.82 |11.2  |10.3  |     ~|     ~|OB+                                |  11|   0
495 |HD 47469                           |*  |06 39 11.173008 +09 38 45.45312        |     ~| 9.10 | 9.09 | 8.75 |     ~|O/B2                               |  23|   0
496 |* 15 Mon                           |Be*|06 40 58.65963 +09 53 44.7229          | 3.360| 4.400| 4.640|     ~| 4.88 |O7V+B1.5/2V                        | 751|   0
497 |HD 261054                          |Em*|06 38 09.1694348771 +09 29 05.236661297|     ~|10.04 | 9.78 |     ~|     ~|O/B2                               |  10|   0
498 |HD 261172                          |*  |06 38 31.5623852817 +09 25 12.212709615|     ~|10.37 |10.10 |10.18 |     ~|O/B2                               |  12|   0
499 |HD 260574                          |*  |06 36 40.4738925788 +07 29 34.749131114| 9.29 | 9.86 | 9.80 |     ~|     ~|O/B2                               |  10|   0
500 |HD 47129                           |SB*|06 37 24.0417003671 +06 08 07.376246443| 5.23 | 6.11 | 6.06 |     ~|     ~|O8I+O7.5III                        | 370|   0
501 |HD 48099                           |Be*|06 41 59.2307767004 +06 20 43.538696992| 5.38 | 6.32 | 6.37 | 6.30 | 6.35 |O5V((f))z+O9:V                     | 280|   0
502 |HD 46966                           |** |06 36 25.8880483410 +06 04 59.483890115| 5.91 | 6.83 | 6.87 |     ~|     ~|O8.5IV                             | 190|   0
503 |HD 263072                          |Em*|06 44 33.5954484524 +04 57 57.649675512|     ~|11.15 |10.77 |     ~|     ~|OB-k?e                             |  10|   0
504 |HD 46485                           |Y*O|06 33 50.9569280058 +04 31 31.615740046| 7.92 | 8.60 | 8.27 |     ~| 8.10 |O7V((f))nzvar?                     | 129|   0
505 |HD 46573                           |SB*|06 34 23.5693132208 +02 32 02.945820029| 7.61 | 8.27 | 7.93 |     ~|     ~|O7V((f))z                          | 118|   0
506 |HD 48279                           |** |06 42 40.54719 +01 42 58.2571          | 7.26 | 8.03 | 7.86 |     ~|     ~|O8V+F2V                            | 140|   0
507 |HD 47432                           |Pu*|06 38 38.1876436469 +01 36 48.677975295| 5.67 | 6.44 | 6.31 | 6.11 | 6.04 |O9.7Ib                             | 173|   0
508 |Lan 14                             |WD*|06 43 16.0144373172 +01 30 12.782293100|     ~|15.64 |15.83 |16.13 |     ~|DO                                 |  16|   0
509 |PN M 1-6                           |PN |06 35 45.1225761631 -00 05 37.414428023|     ~|     ~|15.84 |     ~|     ~|O6-9I                              | 108|   1
510 |PN K 2-2                           |PN |06 52 23.1656572228 +09 57 55.769528156|     ~|13.977|14.263|14.390|14.553|O                                  |  65|   0
511 |V* V450 Mon                        |EB*|06 49 19.3061502780 +00 19 51.115273737|     ~|     ~|     ~|     ~|10.725|OB                                 |  21|   0
512 |LS VI +00 24                       |** |06 48 49.5484965755 +00 22 52.724886435|11.28 |11.83 |11.31 |     ~|     ~|O9                                 |  12|   0
513 |LS VI +00 25                       |SB*|06 48 50.4783993617 +00 22 37.699976273|10.91 |11.43 |10.86 |     ~|     ~|O7                                 |  12|   0
514 |LS 85                              |** |06 45 48.8040508969 -07 18 46.505617052|11.57 |12.28 |12.08 |12.19 |     ~|O7.5V                              |  11|   0
515 |2MASS J06544616-1048325            |pA*|06 54 46.1642472420 -10 48 32.601563796|     ~|12.99 |12.27 |12.08 |     ~|OB+                                |  17|   0
516 |HD 49798                           |HXB|06 48 04.7000758397 -44 18 58.432035331| 6.758| 8.017| 8.287| 8.391| 8.543|sdO6                               | 285|   0
517 |PN MaC 1-1                         |Ae?|06 58 44.3610759594 -03 41 09.962540109|     ~|16.23 |15.0  |     ~|     ~|O9?e                               |  36|   1
518 |HD 52533                           |EB*|07 01 27.0485530401 -03 07 03.281136257| 6.66 | 7.57 | 7.68 |     ~|     ~|O8.5IVn                            | 103|   0
519 |2E 1752                            |HXB|06 58 17.2878555250 -07 12 35.203675058|     ~|12.38 |10.9  |11.40 |     ~|O9.7Ve                             |  73|   0
520 |HD 52266                           |SB*|07 00 21.0761535622 -05 49 35.948161271| 6.32 | 7.22 | 7.23 |     ~|     ~|O9.5IIIn                           | 106|   0
521 |LS 113                             |*  |06 57 58.1780394810 -09 14 30.082308792|     ~|13.03 |12.03 |11.71 |     ~|OB+                                |  11|   0
522 |LS 136                             |*  |07 03 37.0290896290 -09 29 09.663558592|     ~|11.44 |10.61 |10.41 |     ~|OB-                                |  12|   0
523 |BD-08 1666                         |** |07 00 35.06 -08 51 38.7                | 7.99 |10.32 |10.27 |     ~|     ~|OB-                                |  12|   0
524 |HD 53975                           |*  |07 06 35.9656022838 -12 23 38.216531612| 5.38 | 6.40 | 6.50 | 6.51 |     ~|O7.5Vz                             | 178|   0
525 |HD 54662                           |SB*|07 09 20.2488124291 -10 20 47.627880802| 5.35 | 6.24 | 6.21 | 7.23 |     ~|O6.5Vz(n)+O7.5Vz                   | 319|   2
526 |BD-08 1824                         |*  |07 16 11.6248754290 -08 31 17.180515748| 9.01 | 9.87 | 9.80 |10.00 |     ~|OB-                                |  14|   0
527 |HD 55879                           |*  |07 14 28.2530122374 -10 18 58.483790697| 4.88 | 5.85 | 6.03 | 7.35 |     ~|O9.7III                            | 154|   0
528 |HD 54879                           |SB*|07 10 08.1488998239 -11 48 09.835011060| 6.8  | 7.60 | 7.65 |     ~|     ~|O9.7V                              |  68|   0
529 |LS 182                             |*  |07 08 05.9568646256 -16 05 24.697729938|     ~|13.56 |12.41 |12.14 |     ~|OB+                                |  10|   0
530 |BD-15 1724                         |Em*|07 15 07.9321090309 -15 20 22.319687528| 9.56 |10.23 | 9.93 |10.04 |     ~|OB+e                               |  12|   0
531 |TYC 5968-4011-1                    |*  |07 09 55.2025783514 -18 30 07.851378618|10.65 |11.29 |10.82 |10.73 |     ~|O6.5V((f))                         |  23|   0
532 |TYC 5968-2582-1                    |*  |07 10 07.4906645072 -18 26 45.636842153|11.78 |12.36 |12.06 |12.09 |     ~|OB                                 |  13|   0
533 |BD-20 1798                         |** |07 14 25.9588047 -21 06 24.843547      |     ~| 9.38 | 9.22 | 9.63 |     ~|OB-                                |  14|   0
534 |* 29 CMa                           |bL*|07 18 40.3796893709 -24 33 31.311819488| 3.80 | 4.80 | 4.95 | 4.95 | 5.08 |O7Iafpvar                          | 398|   0
535 |* tau CMa                          |bL*|07 18 42.4864191 -24 57 15.741299      | 3.26 | 4.25 | 4.40 | 4.44 | 4.62 |O9II                               | 399|   0
536 |CD-27 3748                         |*  |07 12 02.2903922475 -27 43 04.869706587| 8.21 | 9.04 | 9.25 | 9.78 |     ~|OB-                                |  30|   0
537 |NGC 2371                           |PN |07 25 34.6884571396 +29 29 26.430027683|     ~|14.48 |13.5  |     ~|     ~|Oe                                 | 350|   0
538 |NGC 2392                           |PN |07 29 10.7669120392 +20 54 42.478515772|     ~|     ~| 9.68 |     ~|     ~|O6f                                | 698|   1
539 |PN A66 21                          |PN |07 29 02.7094421237 +13 14 48.589321539|     ~|15.67 |15.99 |     ~|     ~|DOZ                                | 180|   0
540 |PN G219.2+07.5                     |PN |07 29 58.4752157301 -02 06 37.599190864|11.749|12.830|13.017|13.076|13.164|sdO                                |  67|   0
541 |HD 57682                           |*  |07 22 02.0544956184 -08 58 45.761168747| 5.20 | 6.24 | 6.43 |     ~|     ~|O9.2IV                             | 234|   0
542 |HD 59114                           |s*b|07 27 55.3750951509 -15 23 07.375869205| 9.42 | 9.98 | 9.69 | 9.75 |     ~|O7Iaf                              |  22|   0
543 |TYC 5979-3014-1                    |*  |07 28 29.3350536751 -15 17 51.703293872|11.47 |12.08 |11.76 |11.76 |     ~|OB-                                |  11|   0
544 |TYC 5979-2902-1                    |*  |07 29 29.0566357759 -15 16 24.990223001|     ~|10.97 |10.54 |10.55 |     ~|O8                                 |  14|   0
545 |TYC 5966-701-1                     |*  |07 26 13.4555058615 -15 58 36.690304557|12.03 |12.38 |11.81 |11.71 |     ~|OB                                 |  10|   0
546 |BD-20 1866                         |*  |07 20 35.4445183375 -21 13 43.358049142| 9.05 | 9.74 | 9.74 | 9.74 |     ~|OB                                 |  12|   0
547 |BD-20 1918                         |Em*|07 25 05.2412247798 -21 00 45.553859223| 9.55 |10.36 |10.29 |10.36 |     ~|OB-                                |  15|   0
548 |PN M 1-14                          |PN |07 27 56.5102638256 -20 13 22.651795279|     ~|     ~|     ~|     ~|     ~|O(H)7-9                            |  97|   0
549 |HD 57236                           |*  |07 19 30.1023461594 -22 00 17.278368696| 8.21 | 8.90 | 8.80 | 9.41 |     ~|O8.5V                              |  54|   1
550 |BD-20 1916                         |*  |07 25 02.0010442027 -21 09 32.653070852| 7.62 | 8.87 | 9.19 | 9.11 |     ~|OB                                 |  17|   0
551 |IRAS 07225-2428                    |Ae?|07 24 36.9786444732 -24 34 47.494455195|     ~|16.38 |15.0  |     ~|     ~|O9                                 |  14|   0
552 |V* V441 Pup                        |HXB|07 28 53.5787769417 -26 06 28.895160996|11.27 |12.29 |11.83 |11.53 |     ~|O5Ve                               |  69|   0
553 |CD-26 4310                         |Be*|07 24 20.7411386531 -26 30 27.750947252|     ~|10.07 |10.05 |10.13 |     ~|OB-n                               |  12|   1
554 |V* IN CMa                          |No*|07 20 47.9110068282 -31 47 02.732886173|     ~|     ~|     ~|     ~|     ~|DAO+dM                             |  87|   0
555 |HD 60848                           |Be*|07 37 05.7328585099 +16 54 15.303398878| 5.55 | 6.67 | 6.87 |     ~|     ~|O8:V:pe                            | 131|   0
556 |BD-14 1936                         |*  |07 30 37.5541883880 -14 58 55.608045071|10.56 |11.04 |10.40 |10.35 |     ~|O9III                              |  15|   0
557 |HD 61347                           |*  |07 38 16.1165069515 -13 51 01.217777503| 7.84 | 9.44 | 9.29 | 9.13 |     ~|O9Ib                               |  64|   0
558 |NGC 2414 2                         |*  |07 33 10.7442262946 -15 26 46.566957080|10.47 |11.15 |10.80 |10.83 |10.423|OB+                                |  18|   0
559 |BD-14 1975                         |*  |07 34 03.7816222963 -14 43 56.870488551| 9.58 |10.29 | 9.97 |10.13 |     ~|O9                                 |  11|   0
560 |BD-15 1909                         |*  |07 34 58.4623646150 -16 14 23.208336523|10.06 |10.83 |10.58 |10.59 |     ~|O6.5V((f))z                        |  13|   0
561 |TYC 5987-2050-1                    |*  |07 30 01.2702452720 -19 08 34.867862457|11.5  |11.97 |11.34 |11.15 |     ~|O6.5V((f))z                        |  16|   1
562 |TYC 5987-2554-1                    |*  |07 30 35.2789046565 -19 06 22.163965995|11.22 |11.78 |11.16 |11.01 |     ~|O9                                 |  18|   1
563 |IRAS 07298-1919                    |*  |07 32 02.8156566521 -19 26 07.737066704|10.58 |11.17 |10.66 |10.60 |     ~|OB-                                |  24|   0
564 |BD-18 1920                         |*  |07 35 13.9446312515 -18 47 57.161619142|10.58 |11.06 |10.41 |10.32 |     ~|OB                                 |  19|   0
565 |LS 566                             |*  |07 35 27.6990049196 -18 49 08.725891077|12.08 |12.40 |11.65 |11.48 |     ~|OB+                                |  16|   0
566 |TYC 5988-491-1                     |*  |07 40 42.7916979492 -19 20 26.603960164|12.04 |12.04 |11.56 |11.43 |     ~|OB+                                |  12|   0
567 |HD 60479                           |*  |07 33 34.3208364353 -27 58 38.309158898| 8.08 | 8.74 | 8.41 | 8.04 | 7.79 |O9.5Ib                             |  49|   0
568 |TYC 6547-615-1                     |Em*|07 39 06.4846513783 -27 57 47.643399553|12.31 |12.40 |11.50 |11.12 |     ~|OB-                                |  11|   0
569 |CD-27 4224                         |*  |07 33 25.2502406011 -28 11 01.268938131| 8.55 | 9.47 | 9.47 | 9.76 |     ~|OB-                                |  14|   0
570 |LS 630                             |HS*|07 39 41.7403121727 -27 27 22.033218367|12.04 |13.34 |13.59 |13.87 |     ~|sdOHe                              |  18|   0
571 |CD-31 4900                         |Be?|07 40 39.7468851655 -31 38 00.614549268|10.88 |11.47 |11.26 |11.35 |     ~|OB-                                |  12|   0
572 |CPD-31 1701                        |HS*|07 36 30.1947256655 -32 12 43.685247834| 9    |10.26 |10.48 |10.81 |     ~|sdO8p                              |  59|   0
573 |HD 61827                           |*  |07 39 49.3379128922 -32 34 42.131834519| 7.91 | 9.52 | 8.20 | 8.19 |     ~|O8/9(Ib)                           |  73|   0
574 |CD-34 3746                         |*  |07 36 42.0376172755 -34 25 16.773451501| 9.8  |10.44 |10.19 |10.23 |     ~|O9V                                |  15|   0
575 |FBS 0742+337                       |HS*|07 46 13.1657644147 +33 33 07.671943290|     ~|     ~|15.944|     ~|     ~|sdOHe                              |  10|   0
576 |LS 720                             |*  |07 45 07.7671091972 -19 26 06.526895686|12.21 |12.85 |12.60 |12.59 |     ~|OB+                                |  10|   0
577 |CPD-25 2927                        |*  |07 49 24.9459401860 -26 15 13.860883221|11.17 |11.40 |10.81 |10.72 |     ~|OB                                 |  11|   1
578 |HD 62780                           |Be*|07 44 35.2806392439 -26 56 42.058092255| 8.57 | 9.35 | 9.16 | 9.61 |     ~|O9/B0e                             |  35|   0
579 |HD 63005                           |*  |07 45 49.0332591007 -26 29 31.433679777| 8.29 | 9.12 | 9.13 | 9.64 |     ~|O5/6                               |  72|   0
580 |HD 63359                           |Be*|07 47 31.9948348628 -26 40 54.844483080| 8.87 | 9.66 | 9.60 | 9.77 |     ~|OB                                 |  33|   0
581 |CD-26 5070                         |*  |07 50 18.0450612672 -27 15 03.354911735|10.64 |11.28 |11.0  |10.90 |     ~|OB                                 |  15|   0
582 |HD 64315                           |Em*|07 52 20.2841727949 -26 25 46.683038109| 8.76 | 9.49 | 9.24 | 9.63 | 8.86 |O5.5Vz+O7V                         | 104|   1
583 |NGC 2452                           |PN |07 47 26.2648363344 -27 20 06.826143423|     ~|17.9  |12.20 |     ~|     ~|[WO1]                              | 248|   0
584 |CD-28 4944                         |Em*|07 50 10.8433727999 -28 31 51.655556083|     ~|12.01 |11.41 |11.27 |     ~|OB+e                               |  13|   0
585 |CD-28 4778                         |Em*|07 43 56.0460908744 -28 58 10.677017417| 9.88 |10.64 |10.39 |10.32 |     ~|OB+e                               |  11|   0
586 |CD-28 4985                         |*  |07 51 46.7659045280 -28 22 34.309241776| 9.85 |10.49 |10.15 |10.22 |     ~|O8                                 |  16|   0
587 |CD-29 4849                         |*  |07 43 28.9754514095 -29 19 12.432067107| 9.52 |10.17 |10.00 |10.11 |     ~|O9.5II:                            |  22|   0
588 |CD-29 4913                         |Em*|07 45 59.0003424151 -29 33 16.133258263|11.16 |11.82 |11.45 |10.90 |     ~|OB+e                               |  14|   0
589 |CD-30 5079                         |*  |07 46 53.6890766928 -30 33 15.333980841|11.92 |11.98 |11.76 |11.87 |     ~|OB                                 |  11|   0
590 |UCAC4 297-030370                   |*  |07 48 38.0852754772 -30 43 40.786140975|12.09 |12.46 |12.17 |12.26 |     ~|OB                                 |  12|   0
591 |CD-31 5070                         |Em*|07 47 29.2996595357 -31 50 40.317059747|12.33 |12.41 |11.51 |11.23 |     ~|OBe                                |  13|   0
592 |CD-33 4131                         |*  |07 46 30.5557323130 -33 25 53.966307111|12.26 |12.06 |10.56 |10.24 |     ~|OB+                                |  17|   0
593 |CD-34 3814                         |*  |07 41 43.4330026921 -34 47 27.604383179| 9.92 |10.64 |10.35 |10.43 |     ~|O8                                 |  11|   0
594 |CD-34 3821                         |*  |07 42 19.2822552197 -34 46 04.354904172|10.49 |11.04 |10.55 |10.48 |     ~|O8                                 |  11|   0
595 |TYC 7114-1044-1                    |*  |07 47 42.7113727754 -33 47 26.467677994|13.1  |13.03 |11.96 |11.71 |     ~|OB                                 |  13|   0
596 |CD-33 4162                         |*  |07 48 09.4032879782 -33 43 05.024620197|12.52 |12.54 |11.43 |11.21 |     ~|OB+                                |  14|   0
597 |TYC 7114-2696-1                    |*  |07 44 15.1970620573 -34 23 53.814936324|     ~|12.60 |11.23 |10.83 |     ~|OB+                                |  14|   0
598 |HD 63099                           |WR*|07 45 50.3992098899 -34 19 48.498292118|11.47 |11.43 |10.50 |10.37 |     ~|WC4+O7                             | 104|   0
599 |CD-33 4043                         |*  |07 41 39.9791237727 -33 49 54.027670210| 9.69 |10.30 | 9.92 | 9.99 |     ~|O8                                 |  20|   0
600 |EGGR 55                            |HS*|07 51 32.5760407926 -38 28 36.407667930|     ~|13.53 |13.66 |13.99 |     ~|sdOB                               |  19|   0
601 |BD-03 2179                         |HS*|08 02 14.8868948191 -03 58 16.342511529| 8.8  |10.044|10.29 |10.64 |10.60 |sdO                                |  37|   0
602 |CD-23 6539                         |Em*|07 56 42.8849441368 -23 52 58.727244009|     ~|11.76 |11.21 |10.97 |     ~|OB                                 |  10|   0
603 |HD 64568                           |*  |07 53 38.2052171216 -26 14 02.593344803| 8.64 | 9.50 | 9.39 | 9.77 | 9.204|O3V((f*))z                         |  90|   0
604 |CPD-26 2704                        |*  |07 52 36.5888727707 -26 22 41.870675801|10.84 |11.50 |11.16 |11.15 |     ~|O7V(n)                             |  20|   0
605 |WRAY 15-101                        |Em*|07 52 42.8885867383 -26 24 12.783568517|11.39 |12.11 |11.92 |11.97 |     ~|OB:                                |  23|   0
606 |CD-27 4703                         |*  |07 54 29.7083706840 -27 19 46.782458853|11.63 |11.64 |11.40 |11.62 |     ~|OB-                                |  11|   0
607 |HD 65886                           |*  |07 59 59.1524017289 -26 04 00.335099015| 8.99 | 9.71 | 9.69 | 9.91 | 9.504|OB-                                |  15|   0
608 |CD-26 5285                         |*  |07 58 30.6582914574 -26 34 08.130975284|10.46 |11.05 |10.70 |10.69 |     ~|O9.5:V                             |  19|   0
609 |CD-26 5136                         |s*b|07 53 01.0106343581 -27 06 57.766506280| 9.37 |10.00 | 9.67 | 9.86 |     ~|O6.5Iabf                           |  26|   0
610 |CD-28 5034                         |** |07 53 32.74322 -28 44 07.1435          |10.19 |10.77 |10.33 |10.33 |     ~|O7                                 |  18|   1
611 |TYC 6561-2017-1                    |*  |07 57 03.5001682418 -27 54 44.312408116|11.25 |12.08 |11.82 |12.01 |     ~|OB-                                |  11|   0
612 |CD-28 5104                         |s*b|07 55 52.8513057612 -28 37 46.787947260| 9.39 |10.13 | 9.94 |10.12 |     ~|O6Ifp                              |  71|   0
613 |CD-28 5114                         |*  |07 56 11.1319012185 -28 28 22.686148276| 9.65 |10.29 |10.05 |10.15 |     ~|O8/B0                              |  20|   0
614 |CD-28 5156                         |*  |07 57 25.1119880181 -29 10 03.795622471| 9.29 |10.61 |10.17 |10.23 |     ~|OB                                 |  20|   0
615 |CD-28 5180                         |** |07 57 58.5433095913 -28 35 29.309614396|10.46 |11.19 |10.87 |10.90 |     ~|OB                                 |  19|   0
616 |CD-28 5216                         |*  |07 58 51.8311697005 -28 45 04.256558361|10.86 |11.54 |11.26 |11.31 |     ~|O9                                 |  22|   0
617 |CD-28 5247                         |Em*|07 59 44.3129684265 -29 00 55.156121958|11.2  |11.75 |11.33 |11.30 |     ~|OBe                                |  17|   0
618 |CD-28 5257                         |*  |08 00 03.2548418214 -28 50 25.862407691|10.89 |11.62 |11.35 |11.44 |     ~|OB-                                |  20|   0
619 |CD-28 5369                         |*  |08 03 29.9501553398 -28 39 29.028588025| 9.27 |10.05 | 9.94 |10.14 |     ~|OB                                 |  15|   0
620 |CD-29 5159                         |Em*|07 55 42.4884920759 -29 33 53.533212650|10.75 |10.74 |10.25 |10.67 |     ~|O6/8                               |  22|   0
621 |CD-27 4743                         |Em*|07 55 49.9459353648 -28 09 11.177181008|     ~|10.80 |10.52 |10.57 | 9.99 |O7f                                |  20|   0
622 |WRAY 15-120                        |Em*|07 58 45.2352739988 -28 32 45.865073921|11.11 |11.86 |11.41 |11.18 |     ~|O5+                                |  23|   0
623 |Cl Ruprecht 44 128                 |*  |07 59 12.0461783264 -28 34 04.209020703|11.29 |11.93 |11.57 |11.61 |     ~|O9                                 |  24|   0
624 |Cl Ruprecht 44 148                 |*  |07 59 05.9813141207 -28 36 50.010464188|11.98 |12.54 |12.12 |12.12 |11.512|O9                                 |  21|   0
625 |CD-27 4726                         |*  |07 55 17.7257111721 -27 44 29.612849185| 9.72 |10.47 |10.31 |10.40 |     ~|OB-                                |  13|   0
626 |TYC 6565-2103-1                    |*  |07 55 54.8244173355 -28 36 31.852199132|11.56 |12.24 |12.08 |12.20 |     ~|O9/B1                              |  11|   0
627 |NGC 2483 22                        |*  |07 55 48.6842572590 -27 53 51.418789678|     ~|11.83 |11.55 |11.53 |11.112|O9.5:V:                            |  11|   0
628 |CD-31 5309                         |*  |07 58 04.3226638704 -32 06 22.591452252| 8.79 | 9.35 | 9.29 | 9.64 |     ~|O9/B0                              |  19|   0
629 |CD-32 4567                         |Be*|07 55 17.2254486185 -32 27 24.922951122|11.95 |12.26 |11.51 |11.33 |     ~|OB+e                               |  11|   0
630 |* zet Pup                          |BY*|08 03 35.04754 -40 00 11.3321          | 0.89 | 1.98 | 2.25 | 2.36 | 2.58 |O4I(n)fp                           |1097|   1
631 |2MASS J08084617+3131060            |CV*|08 08 46.1919353816 +31 31 05.975366719|     ~|     ~|     ~|     ~|     ~|DOAe                               |  12|   0
632 |HD 66788                           |*  |08 04 08.5402852477 -27 29 08.858514821| 8.44 | 9.92 | 9.83 | 9.85 |     ~|O8/9(Ib)                           |  52|   0
633 |CD-28 5472                         |*  |08 07 17.2380976524 -29 04 41.178935136|10.07 |10.82 |10.75 |10.91 |     ~|OB-                                |  14|   0
634 |CD-30 5609                         |*  |08 05 42.3766205547 -30 42 12.322061062|11.75 |12.27 |12.13 |12.23 |     ~|OB-                                |  11|   0
635 |CD-31 5524                         |*  |08 05 55.8704718999 -31 48 30.607874866|11.08 |11.67 |11.43 |11.42 |     ~|O9/9.5                             |  10|   0
636 |CD-32 4876                         |*  |08 07 33.4207051314 -33 03 51.743265973|10.01 |10.55 |10.13 |10.06 |     ~|O9/B0                              |  15|   0
637 |CD-33 4675                         |Em*|08 12 21.5291824891 -33 49 45.016067424|10.95 |11.76 |11.1  |11.21 |     ~|OB+e                               |  19|   0
638 |CD-34 4452                         |Em*|08 11 16.2137606911 -34 25 21.569736210|10.17 |10.68 |10.52 |10.68 |     ~|OB                                 |  13|   0
639 |HD 68450                           |*  |08 11 01.6834504504 -37 17 32.541641609| 5.58 | 6.42 | 6.44 | 7.43 |     ~|O9.7II                             | 124|   0
640 |CD-36 4326                         |*  |08 12 37.6758815859 -36 40 27.889602446| 8.95 | 9.54 | 9.47 | 9.75 |     ~|O9.5/B0                            |  17|   0
641 |HD 69106                           |*  |08 14 03.7993590115 -36 57 07.936730901| 6.12 | 7.020| 7.128| 8.02 |     ~|O9.7IIn                            | 111|   0
642 |CD-34 4496                         |*  |08 13 35.3610906098 -34 28 43.948380292| 9    | 9.79 | 9.76 | 9.67 |     ~|O8                                 |  26|   0
