C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
39  |BD+40 4221                         |*  |20 32 45.4495346549 +41 25 37.540462295|12.06 |11.93 |10.68 |     ~|     ~|O8.5V(n)                           |  54|   0
40  |Schulte 20                         |SB*|20 31 49.6576546015 +41 28 26.509108646|12.67 |12.63 |11.52 |     ~|     ~|O9III                              |  37|   0
41  |Schulte 75                         |*  |20 34 09.5115377427 +41 34 13.731192031|14.51 |14.25 |12.79 |     ~|     ~|O9.5IV                             |  22|   0
42  |BD+40 4212                         |EB*|20 31 37.5055016113 +41 13 20.999123545|12.46 |11.5  |10.214|     ~|     ~|O9:                                |  69|   1
43  |BD+40 4220                         |EB*|20 32 22.4241357648 +41 18 18.942382590|11.32 |10.79 | 9.185|     ~|     ~|O6.5-7f+O5.5-6f                    | 370|   0
44  |[CPR2002] B17                      |s*b|20 30 27.3017352150 +41 13 25.127848580|     ~|     ~|13.053|     ~|     ~|O6Iaf+O9Ia                         |  26|   0
45  |RLP 1592                           |SB*|20 31 18.3293552763 +41 21 21.702839806|15.88 |15.09 |12.99 |     ~|     ~|O9.5V                              |  20|   0
46  |RLP 593                            |*  |20 31 45.402 +41 18 26.75              |14.91 |14.25 |12.26 |     ~|     ~|O8V                                |  24|   0
47  |GSC 03157-00727                    |*  |20 34 04.8605605854 +41 05 12.913554508|15.88 |15.34 |13.50 |     ~|     ~|O8.5V                              |  16|   0
48  |ALS 15161                          |*  |20 33 10.34 +41 13 06.4                |16.63 |16    |14.05 |     ~|     ~|BOV                                |  12|   0
49  |Schulte 22A                        |*  |20 33 08.7656525268 +41 13 18.701813455|     ~|     ~|     ~|     ~|     ~|O3If*                              |  17|   0
50  |Schulte 22B                        |SB*|20 33 08.8434068322 +41 13 17.226918757|     ~|     ~|     ~|     ~|     ~|O6V((f))                           |  13|   0
51  |Schulte 51                         |*  |20 33 10.1213283006 +41 13 10.168965686|16.29 |15.56 |13.62 |     ~|     ~|O9.5Vn                             |  19|   0
52  |Schulte 73                         |SB*|20 34 21.9322175174 +41 17 01.659157635|     ~|14.13 |12.40 |     ~|     ~|O8Vz+O8Vz                          |  25|   0
53  |Schulte 7                          |*  |20 33 14.1095790591 +41 20 21.903381641|12.24 |12.00 |10.55 |     ~|     ~|O3If*                              | 129|   0
54  |GRS G081.70 +00.50                 |SFR|20 39 01.6 +42 19 38                   |     ~|     ~|     ~|     ~|     ~|O4.5                               | 948|   0
55  |[CPR2002] A11                      |*  |20 32 31.5335925285 +41 14 08.189588225|     ~|     ~|     ~|     ~|     ~|O7Ib(f)                            |  22|   0
56  |[CPR2002] A37                      |*  |20 36 04.4995821629 +40 56 13.037685329|     ~|     ~|     ~|     ~|     ~|O5V((f))                           |  18|   0
57  |TYC 3161-732-1                     |*  |20 31 08.3767449579 +42 02 42.212309819|     ~|13.12 |12.29 |     ~|     ~|O9.7II                             |  10|   0
