C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
724 |V* FW Tau                          |Or*|04 29 29.703744 +26 16 53.06412        |     ~|     ~|     ~|15.85 |     ~|M5.5                  | 118|   0
725 |V* DH Tau                          |Or*|04 29 41.5520056304 +26 32 58.123761109|15.14 |14.62 |13.10 |13.01 |     ~|M1Ve                  | 264|   0
726 |[HJS91] 507                        |TT*|04 29 20.7028522671 +26 33 40.435127204|17.35 |     ~|14.58 |     ~|     ~|M4                    |  37|   0
727 |V* DE Tau                          |Or*|04 21 55.6346296353 +27 55 06.184221341|15.18 |15.13 |13.80 |     ~|     ~|M3Ve                  | 224|   0
728 |V* DI Tau                          |Or*|04 29 42.4736177473 +26 32 49.119618729|16.39 |15.20 |13.60 |     ~|     ~|M0Ve                  | 195|   0
729 |[BLH2002] KPNO-Tau 2               |LM*|04 18 51.1522243376 +28 14 33.296824693|     ~|     ~|21.376|     ~|     ~|M7.5Ve                |  38|   0
730 |[BLH2002] KPNO-Tau 3               |LM*|04 26 29.3901723833 +26 24 13.722007135|     ~|     ~|20.239|     ~|     ~|M6Ve                  |  43|   0
731 |[BLH2002] KPNO-Tau 5               |LM*|04 29 45.6733565875 +26 30 46.559502443|     ~|     ~|19.690|19.10 |15.08 |M7.5Ve                |  47|   0
732 |[BLH2002] KPNO-Tau 12              |Y*O|04 19 01.2808784328 +28 02 48.145982297|     ~|     ~|23.228|     ~|     ~|M9Ve                  |  49|   0
733 |IRAS F04192+2647                   |TT*|04 22 16.7670021430 +26 54 57.171796087|18.78 |18.9  |17.8  |     ~|     ~|M1IVe                 |  38|   0
734 |[MDM2001] CFHT-BD-Tau 9            |BD*|04 24 26.4612148911 +26 49 50.250899575|     ~|     ~|     ~|     ~|15.35 |M6IVe                 |  32|   0
735 |[MDM2001] CFHT-BD-Tau 19           |Y*O|04 21 07.9716728277 +27 02 20.095089359|     ~|     ~|     ~|     ~|     ~|M5IVe                 |  32|   0
736 |IRAS F04262+2654                   |Y*O|04 29 21.6613024117 +27 01 25.528751719|     ~|     ~|     ~|     ~|     ~|M5.9                  |  39|   0
737 |V* IQ Tau                          |Or*|04 29 51.5569553814 +26 06 44.854858369|15.43 |     ~|13.80 |12.28 |11.11 |M0.5                  | 200|   0
738 |V* FT Tau                          |Or*|04 23 39.1894939930 +24 56 14.248383831|     ~|16.15 |14.93 |14.70 |     ~|M2.8                  | 112|   0
739 |IRC +20082                         |AB*|04 29 07.6289350401 +24 43 50.032473131|     ~|20.57 |17.37 |     ~|10.45 |M8III                 |  72|   0
740 |CoKu FV Tau c                      |TT*|04 26 54.4012605412 +26 06 50.942995443|20.35 |     ~|16.70 |     ~|     ~|M3.5e+M2.5e           |  61|   0
741 |V* DF Tau                          |Or*|04 27 02.7917481241 +25 42 22.456361256|11.97 |12.25 |11.42 |10.31 | 9.14 |M3Ve                  | 462|   1
742 |[BLH2002] KPNO-Tau 13              |TT*|04 26 57.3162958061 +26 06 28.340060968|     ~|     ~|     ~|     ~|     ~|M5Ve                  |  35|   0
743 |2MASS J04295950+2433078            |TT*|04 29 59.5081451509 +24 33 07.687799554|     ~|     ~|16.31 |17.9  |15.7  |M5.5                  |  40|   0
744 |HD 28226                           |PM*|04 28 00.7833328503 +21 37 11.652517024|     ~| 5.996| 5.711| 5.553| 5.406|Am                    | 131|   0
745 |HD 28343                           |Er*|04 29 00.1237376701 +21 55 21.719015238|10.988| 9.688| 8.300| 7.446| 6.656|M0.5V                 | 158|   0
746 |HD 27639                           |V* |04 22 22.7296954760 +20 49 17.091142496|     ~| 7.86 | 5.95 |     ~|     ~|M0III                 |  45|   0
747 |LP 415-27                          |PM*|04 22 39.5612545741 +18 16 09.590484197|     ~|15.24 |13.040|12.658|     ~|M0.5                  |  33|   0
748 |IRAS 04187+1927                    |TT*|04 21 43.2354501406 +19 34 13.310019222|     ~|     ~|     ~|15.41 |     ~|M2.4                  |  41|   0
749 |V* V1103 Tau                       |BY*|04 29 01.0130224156 +18 40 25.320944701|     ~|14.74 |13.310|12.982|     ~|M2.5V                 |  33|   0
750 |NAME T Tau Sb                      |*i*|04 21 59.371 +19 32 05.95              |     ~|     ~|     ~|     ~|     ~|M1                    |  73|   0
751 |Cl* Melotte 25 LH 206              |TT*|04 20 52.7379320789 +17 46 41.548103310|     ~|18.14 |16.47 |     ~|     ~|M4.6                  |  30|   0
752 |HG 7-221                           |PM*|04 27 16.6394966796 +17 14 30.664719619|     ~|14.58 |13.064|12.711|     ~|M1.5                  |  40|   0
753 |V* V1104 Tau                       |BY*|04 29 00.1513106406 +16 20 46.807910500|     ~|15.81 |14.28 |14.11 |     ~|M1.5                  |  34|   0
754 |HG 7-235                           |PM*|04 28 52.4521618830 +15 58 53.737465313|     ~|13.21 |11.975|11.62 |     ~|M1V                   |  37|   0
755 |* 63 Tau                           |SB*|04 23 25.0639692398 +16 46 38.158913556|     ~| 5.957| 5.625| 7.04 | 5.33 |A1m                   | 271|   0
756 |Cl* Melotte 25 VR 8                |PM*|04 23 59.1369657620 +16 43 17.668509544|     ~|14.001|12.514|12.225|     ~|M0V                   |  43|   0
757 |HG 7-232                           |BY*|04 28 28.776432 +17 41 45.39120        |     ~|13.58 |12.12 |11.88 |     ~|M0.5Ve                |  53|   0
758 |V* V805 Tau                        |Er*|04 25 13.5409746067 +17 16 05.481519024|     ~|14.56 |13.245|13.044|     ~|M3.5V                 |  42|   0
759 |Cl* Melotte 25 VR 6                |Er*|04 23 50.3734959971 +14 55 17.564524587|     ~|14.85 |13.348|13.08 |     ~|M3.5V                 |  39|   0
760 |LP 475-68                          |PM*|04 26 04.7064252817 +15 02 28.987989321|     ~|13.71 |12.24 |11.85 |     ~|M1V                   |  37|   0
761 |* 60 Tau                           |dS*|04 22 03.5181535031 +14 04 37.917221958|     ~| 6.054| 5.710| 7.05 | 5.38 |A3m                   | 252|   0
762 |* b Tau                            |PM*|04 28 50.1638027833 +13 02 51.375403335|     ~| 5.226| 5.014| 4.907| 4.795|kA5hF0VmF0            | 175|   0
763 |HG 7-162                           |PM*|04 18 47.0366826341 +13 21 58.714473198|     ~|13.40 |11.981|11.51 |     ~|M1V~                  |  33|   0
764 |Cl* Melotte 25 VR 19               |PM*|04 29 12.3503891061 +15 16 26.049214193|     ~|13.91 |12.316|12.00 |     ~|M0                    |  31|   0
765 |V* R Tau                           |Mi*|04 28 18.0020756878 +10 09 44.768248740|     ~|11.64 | 7.60 |     ~|     ~|M6.5-9e               | 131|   0
766 |V* S Tau                           |Mi*|04 29 11.7454174309 +09 56 43.593863131|     ~|     ~| 9.20 |     ~|     ~|M7e                   |  55|   0
767 |V* V1145 Tau                       |LP*|04 29 38.9420938865 +05 09 51.373458672|     ~| 8.74 | 6.99 |     ~|     ~|M3.5IIICa-0.5         |  33|   0
768 |LP 535-12                          |Er*|04 26 19.9405099316 +03 36 36.174405092|     ~|18.7  |     ~|17.1  |     ~|M6.5V                 |  46|   0
769 |V* DG Eri                          |LP*|04 20 41.3453582740 -16 49 47.903085047|     ~| 8.624| 7.049|     ~|     ~|M4III                 |  41|   0
770 |L 591-6                            |PM*|04 28 35.7191714589 -25 10 09.297757491|     ~|13.6  |11.962|11.629|     ~|M2.5                  |  31|   0
771 |Ross 594                           |BY*|04 30 25.2914580419 +39 50 59.428612452|     ~|15.91 |13.959|12.58 |10.8  |M5V                   |  59|   0
772 |V* V1320 Tau                       |TT*|04 31 14.4390253358 +27 10 17.921049955|     ~|14.33 |12.689|11.75 |10.844|M1                    |  41|   0
773 |G 39-29                            |** |04 38 12.623664 +28 12 59.91120        |     ~|14.25 |12.55 |12.25 |     ~|M4.5V                 |  52|   0
774 |V* FZ Tau                          |Or*|04 32 31.7629319321 +24 20 03.057541003|16.15 |     ~|     ~|15.04 |     ~|M0                    | 119|   0
775 |V* ZZ Tau                          |Or*|04 30 51.3868605371 +24 42 22.331917434|     ~|     ~|12.90 |13.97 |     ~|M2.5V+M3.5V           | 128|   0
776 |V* UZ Tau                          |** |04 32 43.02168 +25 52 30.9036          |     ~|     ~|     ~|     ~|     ~|M4Ve+M1/3Ve           | 286|   0
777 |V* FY Tau                          |Or*|04 32 30.5786392247 +24 19 57.364725369|17.83 |18.05 |13.49 |14.17 |     ~|M0.1                  |  97|   0
778 |EM* LkHA 331                       |TT*|04 31 23.814648 +24 10 52.98312        |     ~|16.30 |14.73 |14.98 |     ~|M4.5V                 |  96|   0
779 |Haro 6-13                          |Or*|04 32 15.4177438039 +24 28 59.580866027|19.22 |     ~|17.7  |     ~|     ~|M0                    | 183|   1
780 |V* UZ Tau A                        |TT*|04 32 43.0744163742 +25 52 31.022242441|     ~|     ~|     ~|13.15 |     ~|M2.0e+M3.0e           |  90|   0
781 |2MASS J04315844+2543299            |TT*|04 31 58.4512764298 +25 43 30.018429763|     ~|     ~|15.96 |     ~|     ~|M4.9                  |  35|   0
782 |V* V928 Tau                        |Or*|04 32 18.8839760967 +24 22 26.713747659|17.65 |     ~|13.7  |     ~|     ~|M0.5                  |  81|   0
783 |V* HK Tau                          |Or*|04 31 50.5722969258 +24 24 17.775488652|16.81 |     ~|15.10 |     ~|     ~|M0.5                  | 296|   1
784 |2MASS J04330197+2421000            |TT*|04 33 01.9723467772 +24 21 00.071577295|     ~|     ~|17.951|     ~|     ~|M7.1                  |  34|   0
785 |V* GM Tau                          |Or*|04 38 21.3390129259 +26 09 13.784439336|     ~|     ~|17.577|     ~|15.04 |M6.5                  |  94|   0
786 |V* IS Tau                          |Or*|04 33 36.7943820957 +26 09 49.071437296|18.52 |     ~|     ~|14.79 |     ~|M2.0                  | 115|   0
787 |V* GH Tau                          |Or*|04 33 06.2181025969 +24 09 33.628411049|     ~|     ~|13.20 |12.59 |     ~|M3Ve                  | 169|   0
788 |V* GN Tau                          |Or*|04 39 20.922216 +25 45 02.02608        |17.22 |     ~|     ~|13.85 |     ~|M2.5                  |  85|   0
789 |Haro 6-32                          |TT*|04 41 04.2538699152 +25 57 55.716168108|     ~|     ~|     ~|     ~|     ~|M5e                   |  39|   0
790 |IRAS 04381+2540                    |Y*O|04 41 12.67920 +25 46 35.4216          |     ~|     ~|     ~|     ~|     ~|K0-M2                 | 120|   1
791 |V* V1115 Tau                       |TT*|04 36 19.1014976181 +25 42 58.999936422|     ~|12.97 |11.76 |10.81 |10.228|M0                    |  76|   0
792 |V* V697 Tau                        |Er*|04 33 23.76576 +23 59 27.0744          |     ~|14.14 |12.657|12.270|     ~|M3.0V                 |  41|   0
793 |JH 223                             |TT*|04 40 49.5107760683 +25 51 18.966786927|18.25 |     ~|     ~|15.09 |     ~|M2.8                  |  47|   0
794 |HD 29647                           |*  |04 41 08.0445234455 +25 59 33.957034408| 9.69 | 9.22 | 8.31 | 7.35 | 6.60 |B9IIIpHgMn            | 188|   0
795 |V* V830 Tau                        |TT*|04 33 10.0299730541 +24 33 43.255853678|     ~|13.91 |12.08 |11.30 |     ~|M0-1                  | 173|   1
796 |V* DN Tau                          |Or*|04 35 27.3776240781 +24 14 58.908761629|13.56 |12.88 |11.50 |11.79 |     ~|M1:Ve                 | 350|   0
797 |IRAS 04370+2559                    |Y*O|04 40 08.0044564423 +26 05 25.424058995|     ~|     ~|     ~|     ~|     ~|M                     |  48|   0
798 |ITG 33A                            |TT*|04 41 08.2613426749 +25 56 07.368386155|     ~|     ~|     ~|     ~|     ~|M3                    |  39|   0
799 |ITG 17                             |Y*O|04 39 47.4820305505 +26 01 40.693626234|     ~|     ~|21.556|     ~|15.78 |M7                    |  85|   0
800 |NAME HK Tau B                      |TT*|04 31 50.58 +24 24 16.4                |     ~|     ~|     ~|     ~|     ~|M1                    |  67|   0
801 |NAME CoKu Tau 3                    |TT*|04 35 40.937952 +24 11 08.49012        |20.58 |     ~|     ~|     ~|     ~|M4.3                  |  91|   0
802 |[BLH2002] KPNO-Tau 6               |BD*|04 30 07.2484355471 +26 08 20.698295788|     ~|     ~|22.292|20.56 |17.90 |M8.5Ve                |  51|   0
803 |[BLH2002] KPNO-Tau 7               |LM*|04 30 57.2037457394 +25 56 39.560007407|     ~|     ~|22.068|     ~|17.16 |M8Ve                  |  47|   0
804 |V* DO Tau                          |Or*|04 38 28.5882167490 +26 10 49.472067634|12.78 |13.44 |12.30 |13.01 |     ~|M1Ve                  | 319|   1
805 |[BLH2002] KPNO-Tau 14              |Y*O|04 33 07.8106353614 +26 16 06.562720873|     ~|     ~|20.735|     ~|     ~|M6Ve                  |  31|   0
806 |V* FX Tau                          |Or*|04 30 29.618064 +24 26 45.02724        |     ~|15.18 |13.61 |13.21 |     ~|M4                    | 143|   0
807 |ITG 2                              |Y*O|04 38 00.8675100119 +25 58 57.275767004|     ~|     ~|     ~|20.21 |14.71 |M7e                   |  31|   0
808 |ITG 3                              |Y*O|04 38 14.8833303682 +26 11 39.971794234|     ~|     ~|     ~|20.33 |17.84 |M7e                   |  51|   0
809 |IRAS S04301+2608                   |Y*O|04 33 14.3602980976 +26 14 23.494786529|     ~|     ~|     ~|     ~|     ~|M0                    |  33|   0
810 |NAME ZZ Tau IRS                    |TT*|04 30 51.7198337523 +24 41 47.604184059|     ~|     ~|17.1  |     ~|     ~|M5IVe                 |  39|   0
811 |2MASS J04321786+2422149            |TT*|04 32 17.8722821712 +24 22 14.906649942|     ~|     ~|18.2  |16.63 |14.12 |M6.5                  |  36|   0
812 |2MASS J04325026+2422115            |BD*|04 32 50.2665216453 +24 22 11.670257724|     ~|     ~|     ~|     ~|18.79 |M7.5                  |  30|   0
813 |ITG 34                             |Y*O|04 41 10.7863139705 +25 55 11.540472769|     ~|     ~|     ~|19.28 |16.43 |M5.5e                 |  38|   0
814 |2MASS J04390396+2544264            |BD*|04 39 03.9603916514 +25 44 26.337817736|     ~|     ~|     ~|18.40 |15.40 |M7IVe                 |  51|   0
815 |IRAS 04295+2251                    |Y*O|04 32 32.05488 +22 57 26.6724          |     ~|     ~|     ~|     ~|     ~|K0-M4                 |  87|   0
816 |V* HO Tau                          |Or*|04 35 20.2103777721 +22 32 14.557063236|     ~|     ~|15.20 |     ~|     ~|M0.5                  | 107|   0
817 |Haro 6-28                          |Or*|04 35 56.8652987075 +22 54 35.826437972|18.94 |     ~|     ~|     ~|     ~|M3.1                  |  85|   0
818 |IRAS 04303+2240                    |Y*O|04 33 19.0746339919 +22 46 34.185095127|     ~|     ~|     ~|     ~|     ~|M0.5                  |  65|   0
819 |2MASS J04341099+2251445            |TT*|04 34 10.9942832092 +22 51 44.397944183|     ~|     ~|15.19 |     ~|     ~|M1.5                  |  41|   0
820 |CoKu HP Tau G3                     |TT*|04 35 53.4991854163 +22 54 09.000431829|18.21 |     ~|14.8  |     ~|     ~|M0.6                  |  58|   0
821 |2MASS J04341527+2250309            |Y*O|04 34 15.2773856137 +22 50 30.804533445|     ~|     ~|23.427|     ~|     ~|M7                    |  41|   0
822 |2MASS J04361038+2259560            |BD*|04 36 10.3838421343 +22 59 56.003013804|     ~|     ~|22.520|     ~|16.81 |M8Ve                  |  46|   0
823 |2MASS J04363893+2258119            |BD*|04 36 38.9288541165 +22 58 11.845890661|     ~|     ~|21.654|     ~|16.88 |M7.75                 |  45|   0
824 |[BLH2002] KPNO-Tau 8               |Y*O|04 35 41.8388746981 +22 34 11.595178814|20.64 |     ~|19.261|     ~|     ~|M6Ve                  |  35|   0
825 |[BLH2002] KPNO-Tau 9               |LM*|04 35 51.4277984148 +22 49 11.868048124|     ~|     ~|24.918|     ~|18.76 |M8.5V                 |  38|   0
826 |V* VY Tau                          |Or*|04 39 17.4208176970 +22 47 53.361809753|     ~|     ~| 9.00 |     ~|     ~|M0Ve                  | 180|   0
827 |2MASS J04330945+2246487            |LM*|04 33 09.4629919840 +22 46 48.623660040|     ~|     ~|     ~|     ~|16.26 |M7.0                  |  32|   0
828 |V* V710 Tau A                      |TT*|04 31 57.8032267772 +18 21 34.726898440|     ~|     ~|     ~|13.87 |     ~|M2/3e                 | 153|   0
829 |V* V710 Tau B                      |TT*|04 31 57.7916444904 +18 21 37.947621353|     ~|15.07 |13.55 |13.98 |     ~|M0.5/1e               |  50|   0
830 |VSS XI-2                           |TT*|04 31 15.7846772782 +18 20 07.068277320|     ~|     ~|15.72 |     ~|     ~|M4.25                 |  41|   0
831 |2MASS J04322210+1827426            |TT*|04 32 22.1106070891 +18 27 42.648224021|     ~|     ~|     ~|     ~|     ~|M5.0                  |  38|   0
832 |G 8-41                             |Er*|04 33 33.9634383302 +20 44 45.842025847|     ~|16.21 |14.530|14.133|11.43 |M5V                   |  36|   0
833 |* 81 Tau                           |SB*|04 30 38.8891812919 +15 41 30.762581514|     ~| 5.739| 5.454| 6.76 |     ~|Am                    | 192|   0
834 |V* UX Tau B                        |TT*|04 30 03.5778750604 +18 13 49.477040697|     ~|     ~|     ~|13.33 |     ~|M1Ve                  |  62|   0
835 |EM* LkHA 358                       |TT*|04 31 36.1396524070 +18 13 43.176961457|     ~|     ~|19.0  |     ~|     ~|M0.9                  |  87|   0
836 |V* V484 Tau                        |Er*|04 30 23.962176 +17 29 59.05608        |     ~|16.07 |14.52 |14.36 |     ~|M3.5                  |  34|   0
837 |V* XZ Tau                          |Or*|04 31 40.0868968022 +18 13 56.642439056|     ~|     ~|10.40 |13.12 |     ~|M2e+M2e               | 410|   1
838 |RAFGL 5123                         |FU*|04 31 34.07736 +18 08 04.9020          |     ~|     ~|     ~|     ~|     ~|K3V/M3III             | 815|   0
839 |V* V1321 Tau                       |TT*|04 32 53.2359649386 +17 35 33.645694399|     ~|     ~|13.69 |     ~|     ~|M2                    |  42|   0
840 |[RRN96] GG Tau B                   |*  |04 32 30.2772495129 +17 31 30.448743263|     ~|     ~|     ~|     ~|     ~|M6                    |  45|   1
841 |HZ 9                               |WD*|04 32 23.7568600725 +17 45 02.673763017|     ~|14.28 |13.93 |14.21 |     ~|DA3+dM                | 138|   0
842 |2MASS J04312405+1800215            |TT*|04 31 24.0575671088 +18 00 21.455153686|     ~|20.38 |18.678|     ~|14.32 |M7                    |  64|   0
843 |2MASS J04321606+1812464            |TT*|04 32 16.0655428266 +18 12 46.383508261|     ~|19.20 |17.595|     ~|     ~|M6.5                  |  73|   0
844 |V* DM Tau                          |Or*|04 33 48.7335659850 +18 10 09.974471722|14.30 |14.82 |14.00 |     ~|     ~|M2Ve                  | 517|   0
845 |2MASS J04352450+1751429            |TT*|04 35 24.5038529437 +17 51 42.495480359|     ~|15.680|14.030|13.310|     ~|M1.5                  |  49|   2
846 |V* UX Tau C                        |TT*|04 30 03.9885439206 +18 13 46.786269979|     ~|     ~|18.0  |     ~|     ~|M5                    |  34|   0
847 |V* GG Tau                          |Or*|04 32 30.3318954228 +17 31 40.834888327|14.84 |14.78 |13.40 |11.54 |     ~|M0e+M2.0e             | 652|   1
848 |* 84 Tau                           |LP?|04 31 07.1901450679 +15 06 18.139324987|     ~| 7.983| 6.303|     ~|     ~|M3III                 |  30|   0
849 |HG 7-252                           |PM*|04 31 44.8444280157 +15 37 45.653425080|     ~|13.36 |11.91 |11.61 |     ~|M0V                   |  31|   0
850 |* sig01 Tau                        |SB*|04 39 09.2167927578 +15 47 59.292624182|     ~| 5.201| 5.076|     ~|     ~|A4m                   |  81|   0
851 |* 88 Tau                           |SB*|04 35 39.2552964799 +10 09 38.761498133|     ~| 4.412| 4.250|     ~| 4.06 |A5m                   | 201|   0
852 |V* RX Tau                          |Mi*|04 38 14.5681671049 +08 20 09.293985694|     ~|     ~| 9.10 |     ~|     ~|M7e                   |  85|   0
853 |HD 29499                           |PM*|04 39 06.1590758485 +07 52 15.558265082|     ~| 5.623| 5.365| 5.226| 5.093|A5m                   | 104|   0
854 |GJ 3305                            |TT*|04 37 37.4507041928 -02 29 28.869007822|     ~|12.04 |10.59 |     ~| 8.59 |M1.1V                 | 107|   0
855 |LP 655-48                          |PM*|04 40 23.2761331563 -05 30 08.129120042|     ~|18.9  |17.79 |15.72 |13.36 |M7.5Ve                |  50|   0
856 |* 47 Eri                           |LP?|04 34 11.6285871830 -08 13 52.858329862|     ~| 6.852| 5.188|     ~|     ~|M0/1III               |  47|   0
857 |BD-09 956                          |** |04 40 29.26091 -09 11 45.9794          |12.906|11.735|10.257| 9.302| 8.251|M0V                   |  46|   0
858 |BD-11 916                          |PM*|04 37 41.8658538225 -11 02 19.970320151|13.041|11.838|10.331| 9.327| 8.137|M1V                   |  98|   0
859 |LP 775-31                          |PM*|04 35 16.1473865670 -16 06 57.253983721|     ~|     ~|17.820|15.78 |13.36 |M8Ve                  |  36|   0
860 |* 54 Eri                           |LP*|04 40 26.5115872790 -19 40 17.372298494| 7.80 | 5.90 | 4.30 | 2.81 | 1.40 |M3/4III               |  66|   0
861 |V* R Cae                           |Mi*|04 40 30.0842836556 -38 14 06.919611420|     ~|11.1  | 6.70 |     ~|     ~|M6e                   |  87|   0
862 |HD 30453                           |SB*|04 49 19.0802794304 +32 35 17.495495312|     ~| 6.086| 5.824|     ~|     ~|A8m                   |  67|   0
863 |Haro 6-36                          |TT*|04 43 20.2256964418 +29 40 06.053179629|     ~|     ~|     ~|     ~|     ~|M5.5                  |  38|   0
864 |IRAS 04489+3042                    |Y*O|04 52 06.6859847880 +30 47 17.016855701|     ~|     ~|     ~|     ~|     ~|M2                    |  62|   0
865 |V* UY Aur                          |Or*|04 51 47.3900418279 +30 47 13.552212742|12.82 |12.96 |11.90 |10.59 | 9.52 |M0e+M2.5e             | 329|   0
866 |CoKu Tau-Aur Star 4                |TT*|04 41 16.8106225314 +28 40 00.077173462|     ~|16.40 |14.68 |14.59 |     ~|M1.5e                 | 165|   0
867 |V* DP Tau                          |Or*|04 42 37.6996387891 +25 15 36.992730557|15.84 |15.2  |13.70 |14.42 |     ~|M0.8                  | 154|   1
868 |V* GO Tau                          |Or*|04 43 03.0761884276 +25 20 18.708294279|     ~|16.2  |14.40 |     ~|     ~|M2.3                  | 154|   0
869 |V* V999 Tau                        |Or*|04 42 05.4896906880 +25 22 56.226737601|18.68 |15.1  |14.7  |     ~|     ~|M0.6                  |  74|   0
870 |2MASS J04422101+2520343            |TT*|04 42 21.0213244177 +25 20 34.300467111|18.67 |     ~|     ~|     ~|     ~|M5.1                  |  45|   0
871 |V* V1000 Tau                       |Or*|04 42 07.3316526430 +25 23 02.928347503|19.09 |16.1  |15.01 |     ~|     ~|M2.5                  |  72|   0
872 |EM* LkHA 332                       |Or*|04 42 07.7923691084 +25 23 11.820801806|17.90 |16.51 |     ~|     ~|     ~|K7+M2.5               | 143|   1
873 |Haro 6-33                          |TT*|04 41 38.8300758211 +25 56 26.681998749|     ~|     ~|18.40 |     ~|     ~|M0.5                  | 101|   2
874 |2MASS J04414825+2534304            |BD*|04 41 48.2522895943 +25 34 30.569106360|     ~|     ~|     ~|     ~|17.03 |M8e                   |  47|   0
875 |IRAS S04414+2506                   |BD*|04 44 27.1421731772 +25 12 16.439761677|     ~|     ~|     ~|     ~|     ~|M7e                   |  63|   0
876 |G 85-19                            |PM*|04 50 50.9266557695 +22 07 21.532368324|     ~|17.18 |15.23 |14.5  |     ~|M5V                   |  36|   0
877 |2MASS J04414489+2301513            |LM*|04 41 44.8958526354 +23 01 51.407921287|     ~|     ~|     ~|20.6  |     ~|M8.7                  |  54|   1
878 |HD 285968                          |PM*|04 42 55.7753203198 +18 57 29.394344631|12.668|11.49 | 9.951| 8.931| 7.702|M2.5V                 | 253|   2
879 |V* DQ Tau                          |Or*|04 46 53.0577037389 +17 00 00.135310040|14.56 |13.67 |12.00 |13.21 |     ~|M1Ve                  | 290|   0
880 |V* V Tau                           |Mi*|04 52 02.3039035230 +17 32 16.710678860|     ~|13.29 | 8.50 |     ~|     ~|M1-4.5e               |  52|   0
881 |Haro 6-37                          |Or*|04 46 58.97952 +17 02 38.1948          |     ~|     ~|     ~|     ~|     ~|K7e+M1e               | 105|   0
882 |HD 30210                           |PM*|04 46 01.7399683665 +11 42 20.120763822|     ~| 5.566| 5.346|     ~|     ~|Am                    | 142|   0
883 |Wolf 1539                          |PM*|04 52 05.7323109095 +06 28 35.589503596|14.791|13.568|12.018|10.854| 9.334|M2V                   | 124|   1
884 |2MASSI J0443376+000205             |LM*|04 43 37.6087816580 +00 02 05.109219492|     ~|     ~|19.6  |     ~|15.877|M9.0V                 |  43|   0
885 |V* RZ Eri                          |RS*|04 43 45.8303098729 -10 40 56.020152460|     ~| 8.530| 7.88 |     ~|     ~|kA5mF5+G8IVe          | 169|   0
886 |LP 776-25                          |PM*|04 52 24.4147207305 -16 49 21.927255340|     ~|12.76 |11.639|11.237| 9.1  |M3.3V                 |  53|   0
887 |V* EX Eri                          |dS*|04 46 25.7495931083 -28 05 14.805481115|     ~| 6.347| 6.173|     ~|     ~|A7VkA3mA3             | 108|   0
888 |G 96-6                             |PM*|04 52 34.6087133173 +40 42 24.151667431|     ~|15.01 |13.40 |12.21 |10.58 |M5V                   |  31|   0
889 |2MASS J04554757+3028077            |TT*|04 55 47.5774465268 +30 28 07.563998959|     ~|     ~|     ~|     ~|     ~|M5e                   |  30|   0
890 |V* V836 Tau                        |TT*|05 03 06.5988350466 +25 23 19.604482133|     ~|15.00 |13.49 |13.48 |     ~|K7/M0Ve               | 206|   0
891 |2MASS J04542368+1709534            |TT*|04 54 23.68272 +17 09 53.4744          |     ~|     ~|13.5  |     ~|     ~|M3.4                  |  51|   1
892 |* omi Ori                          |S* |04 52 31.9660398278 +14 15 02.326990690|     ~| 6.458| 4.721|     ~|     ~|M3SIII                | 205|   0
893 |LP 476-207                         |** |05 01 58.79419 +09 58 59.2855          |     ~|12.93 |11.53 |10.33 | 8.708|M3.5V                 | 101|   0
894 |* 5 Ori                            |V* |04 53 22.7727382 +02 30 29.610420      |     ~| 6.930| 5.324|     ~|     ~|M1III                 |  32|   0
895 |V* V1005 Ori                       |BY*|04 59 34.8341800543 +01 47 00.672080375|     ~|11.48 |10.107| 9.603| 8.239|M0Ve                  | 303|   0
896 |LP 656-38                          |PM*|05 01 57.4261049715 -06 56 46.371875101|     ~|13.92 |12.196|11.791| 9.175|M4.0Ve                |  91|   0
897 |L 736-30                           |PM*|04 53 49.9799241551 -17 46 24.309239662|13.598|12.443|10.894| 9.876| 8.671|M3V                   |  76|   0
898 |HD 31925                           |** |04 59 01.36250 -16 22 33.6890          |     ~|     ~|     ~| 6.90 |     ~|hF5gF5mF3             |  76|   0
899 |LP 776-46                          |PM*|05 03 20.0842221741 -17 22 24.722641994|14.612|13.371|11.735|10.603| 9.192|M3V                   |  72|   0
900 |V* RS Cae                          |AM*|04 53 25.46 -42 13 39.6                |     ~|     ~|     ~|     ~|     ~|Am                    |  36|   0
901 |* mu. Aur                          |** |05 13 25.7204229629 +38 29 04.147218748|     ~| 5.017| 4.821|     ~|     ~|A4m                   |  94|   0
902 |HD 32428                           |Pe*|05 04 36.9214675847 +32 19 13.131314589|     ~| 6.89 | 6.62 |     ~|     ~|A4mF2                 |  47|   0
903 |HD 33204                           |EB*|05 09 45.0935047294 +28 01 49.690740243|     ~| 6.296| 5.997|     ~| 5.69 |A7VAm:                | 149|   0
904 |IRAS 05022+2527                    |TT*|05 05 22.794072 +25 31 30.92520        |     ~|17.71 |16.26 |     ~|     ~|M4.6                  |  41|   0
905 |2MASS J05044139+2509544            |TT*|05 04 41.3974730845 +25 09 54.581861436|     ~|     ~|     ~|     ~|     ~|M3.7                  |  38|   0
