C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
40  |V* V1339 Cyg                       |LP*|21 42 08.3528918195 +45 45 56.498194888|     ~| 7.64 | 6.23 |     ~|     ~|M4III:                |  49|   0
41  |V* W Cyg                           |LP*|21 36 02.4961902 +45 22 28.529170      | 8.21 | 6.97 | 5.38 | 3.03 | 0.89 |M4e-M6eIII            | 171|   0
42  |* 9 Lac                            |PM*|22 37 22.4172656 +51 32 42.438341      | 4.98 | 4.87 | 4.63 | 4.41 | 4.27 |A9VkA7mA6             |  70|   0
43  |V* SV Cas                          |Mi*|23 39 01.4243926017 +52 15 44.864259848|     ~| 9.79 | 8.54 |     ~|     ~|M5                    |  38|   0
44  |V* R Cas                           |Mi*|23 58 24.8700291935 +51 23 19.691977266| 6.71 | 6.63 | 4.80 |     ~|     ~|M6.5-9e               | 680|   0
45  |V* SS Cas                          |Mi*|00 09 36.5267226460 +51 34 00.889379434|     ~|11.70 |10.54 |     ~|     ~|M5-7e                 |  49|   0
46  |V* V366 And                        |LP*|01 43 11.1052384676 +48 31 00.365981543|     ~| 8.64 | 6.79 |     ~|     ~|M2Ib                  |  44|   0
47  |BD+44 493                          |Pe*|02 26 49.7388403813 +44 57 46.526253277|     ~| 9.63 | 9.11 |     ~|     ~|CEMP-no               |  84|   0
48  |V* UX And                          |LP*|02 33 28.7515494384 +45 39 16.208092600|     ~|10.03 | 8.69 |     ~|     ~|M6IIIv                |  39|   0
49  |G 78-4                             |PM*|02 45 39.6783267689 +44 56 55.528868074|     ~|     ~|     ~|10.344|     ~|M0.5Ve                |  40|   0
50  |V* RW Cyg                          |s*r|20 28 50.5902663365 +39 58 54.418023246|13.00 |10.60 | 8.00 | 5.32 | 3.25 |M3-M4Ia-Iab           | 110|   0
51  |BD+44 3567                         |PM*|20 45 04.0991768849 +44 29 56.643391465|     ~|12.03 |10.704|10.299| 8.57 |M2V                   | 122|   0
52  |V* DG Cyg                          |Mi*|20 43 25.4434555300 +43 11 50.760999610|     ~|16.55 |13.41 |10.15 | 8.34 |M9                    |  38|   0
53  |V* V2141 Cyg                       |S* |20 57 53.1776422615 +44 47 17.335989474|     ~| 9.13 | 7.48 |     ~|     ~|MS                    |  51|   0
54  |V* V1981 Cyg                       |LP*|21 02 24.1996297679 +44 47 27.527854906| 9.73 | 7.90 | 6.23 | 4.46 | 2.90 |M4.5III               | 103|   0
55  |V* V2493 Cyg                       |Or*|20 58 17.0282353931 +43 53 43.339695195|     ~|19.678|18.023|17.67 |15.233|K7/M0e                |  93|   0
56  |EM* AS 453                         |Sy*|21 02 09.8173494732 +45 46 32.736335364|     ~|16.04 |14.68 |11.38 |     ~|Mep                   | 240|   0
57  |RX J2130.6+4710                    |XB*|21 30 18.4670095810 +47 10 07.402855249|     ~|     ~|     ~|     ~|     ~|DA+M3.5/4Ve           |  31|   0
